Experiment,Genotype,Treatment,Replicate,O2 (%),Iinc (mmol/m2/s),Ca (ppm),Ci (ppm),A (mmol/m2/s),F2 (mol/mol),Tleaf (℃),VPDL (kPa),gs (mol/m2/s),Tr (mol/m2/s)
EXP2019,Thésée,Well-water,1,21,2000.1,371.1250,287.9894,22.3555,0.1730,15.0,1.0,0.4973,0.0044
EXP2019,Thésée,Well-water,1,21,1499.9,372.7530,295.1809,20.8938,0.2133,15.0,1.0,0.5013,0.0045
EXP2019,Thésée,Well-water,1,21,1000.1,375.7030,305.7225,18.5486,0.2753,15.0,1.0,0.4978,0.0045
EXP2019,Thésée,Well-water,1,21,499.8,380.9330,324.7091,14.2096,0.3827,15.0,1.0,0.4854,0.0044
EXP2019,Thésée,Well-water,1,21,199.9,388.6760,353.5553,7.8000,0.4826,15.1,1.0,0.4596,0.0042
EXP2019,Thésée,Well-water,1,21,150.0,390.7640,359.2469,6.2567,0.5093,15.0,1.0,0.4184,0.0038
EXP2019,Thésée,Well-water,1,21,120.0,392.2910,363.2021,5.1108,0.5264,15.0,1.0,0.3758,0.0035
EXP2019,Thésée,Well-water,1,21,90.2,393.9920,366.9428,3.9300,0.5439,15.0,1.0,0.3147,0.0029
EXP2019,Thésée,Well-water,1,21,60.1,395.8750,371.1803,2.6844,0.5622,15.0,1.0,0.2402,0.0023
EXP2019,Thésée,Well-water,1,21,40.1,397.5050,373.1065,1.6384,0.5782,15.0,1.0,0.1470,0.0014
EXP2019,Thésée,Well-water,1,21,999.9,376.0470,295.0910,18.4559,0.2861,15.0,1.0,0.4176,0.0038
EXP2019,Thésée,Well-water,1,21,999.9,186.2940,139.4908,10.8385,0.2533,15.0,1.0,0.4197,0.0038
EXP2019,Thésée,Well-water,1,21,1000.2,93.9807,72.9417,4.8332,0.2108,15.0,1.0,0.4198,0.0038
EXP2019,Thésée,Well-water,1,21,999.9,48.1410,40.8588,1.6130,0.1848,15.0,1.0,0.4194,0.0038
EXP2019,Thésée,Well-water,1,21,1000.2,378.8480,307.7545,16.1658,0.2539,15.0,1.0,0.4215,0.0038
EXP2019,Thésée,Well-water,1,21,999.9,377.0040,300.1351,17.6126,0.2709,15.0,1.0,0.4218,0.0038
EXP2019,Thésée,Well-water,1,21,999.9,376.4710,298.2660,18.0970,0.2772,15.0,1.0,0.4256,0.0038
EXP2019,Thésée,Well-water,1,21,999.9,622.4520,531.0789,20.3513,0.2733,15.0,1.0,0.4236,0.0038
EXP2019,Thésée,Well-water,1,21,1000.2,971.1480,875.8547,19.9211,0.2603,15.0,1.0,0.4220,0.0038
EXP2019,Thésée,Well-water,1,21,999.9,1468.7500,1364.0761,19.8967,0.2591,15.0,1.0,0.4123,0.0037
EXP2019,Thésée,Well-water,1,2,199.9,986.2240,884.3188,9.7451,0.4699,14.9,1.0,0.1843,0.0018
EXP2019,Thésée,Well-water,1,2,150.0,989.3400,890.9875,7.3080,0.4860,15.0,1.0,0.1434,0.0014
EXP2019,Thésée,Well-water,1,2,120.0,991.7270,887.1912,5.7446,0.4969,15.0,1.0,0.1044,0.0010
EXP2019,Thésée,Well-water,1,2,89.9,993.4950,884.8831,4.4269,0.5098,15.0,1.0,0.0765,0.0007
EXP2019,Thésée,Well-water,1,2,60.1,995.8980,899.5511,2.8471,0.5247,15.0,1.0,0.0566,0.0006
EXP2019,Thésée,Well-water,1,2,40.1,997.2280,870.5122,1.9291,0.5436,15.0,1.0,0.0277,0.0003
EXP2019,Thésée,Well-water,2,21,2000.0,376.0720,283.5560,17.5913,0.1308,15.0,1.0,0.3419,0.0032
EXP2019,Thésée,Well-water,2,21,1499.9,377.2900,287.9326,16.7593,0.1641,15.0,1.0,0.3379,0.0031
EXP2019,Thésée,Well-water,2,21,999.9,379.2450,296.8693,15.2226,0.2178,15.0,1.0,0.3349,0.0031
EXP2019,Thésée,Well-water,2,21,500.0,383.3720,314.8655,12.0113,0.3249,15.0,1.0,0.3225,0.0030
EXP2019,Thésée,Well-water,2,21,200.0,389.2030,341.5074,7.4994,0.4507,15.0,1.0,0.3015,0.0028
EXP2019,Thésée,Well-water,2,21,150.0,391.0240,347.7750,6.1357,0.4837,15.0,1.0,0.2754,0.0026
EXP2019,Thésée,Well-water,2,21,120.1,392.4820,352.4532,5.0674,0.5048,15.0,1.0,0.2482,0.0024
EXP2019,Thésée,Well-water,2,21,90.0,394.1300,356.4911,3.9663,0.5255,15.0,1.0,0.2077,0.0020
EXP2019,Thésée,Well-water,2,21,60.0,396.0240,361.3313,2.7276,0.5486,15.0,1.0,0.1565,0.0015
EXP2019,Thésée,Well-water,2,21,40.1,397.4140,363.0019,1.7683,0.5679,15.0,1.0,0.1016,0.0010
EXP2019,Thésée,Well-water,2,21,999.9,380.9660,309.7387,13.7912,0.2079,15.0,1.0,0.3563,0.0033
EXP2019,Thésée,Well-water,2,21,999.9,188.1310,144.3660,8.8936,0.1900,15.0,1.0,0.3682,0.0034
EXP2019,Thésée,Well-water,2,21,1000.0,94.5431,74.2635,4.2225,0.1589,15.0,1.0,0.3803,0.0035
EXP2019,Thésée,Well-water,2,21,1000.1,48.2072,40.8211,1.4994,0.1355,15.0,1.0,0.3829,0.0035
EXP2019,Thésée,Well-water,2,21,1000.1,382.2640,319.6071,12.7548,0.1930,15.0,1.0,0.3811,0.0035
EXP2019,Thésée,Well-water,2,21,1000.1,381.3690,315.6140,13.4206,0.1989,15.0,1.0,0.3801,0.0035
EXP2019,Thésée,Well-water,2,21,999.9,381.0260,313.9431,13.6800,0.2030,15.0,1.0,0.3788,0.0035
EXP2019,Thésée,Well-water,2,21,999.9,627.8030,549.0400,15.3462,0.2018,15.0,1.0,0.3764,0.0034
EXP2019,Thésée,Well-water,2,21,999.9,976.0440,891.2726,15.3705,0.1946,15.0,1.0,0.3738,0.0034
EXP2019,Thésée,Well-water,2,21,1000.2,1473.3900,1377.7429,15.7263,0.1942,15.0,1.0,0.3659,0.0034
EXP2019,Thésée,Well-water,2,2,200.1,988.1060,900.9750,7.5955,0.3867,15.0,1.0,0.1738,0.0017
EXP2019,Thésée,Well-water,2,2,149.8,990.4650,902.5846,6.1654,0.4090,15.0,1.0,0.1389,0.0013
EXP2019,Thésée,Well-water,2,2,119.8,992.2650,902.8789,5.0098,0.4263,15.0,1.0,0.1100,0.0011
EXP2019,Thésée,Well-water,2,2,90.1,994.0060,911.5506,3.7471,0.4442,15.0,1.0,0.0905,0.0009
EXP2019,Thésée,Well-water,2,2,60.0,995.9680,925.5221,2.3195,0.4653,15.0,1.0,0.0681,0.0007
EXP2019,Thésée,Well-water,2,2,40.1,997.2910,928.2108,1.5485,0.4837,15.0,1.0,0.0465,0.0005
EXP2019,Thésée,Well-water,3,21,2000.0,366.3100,277.9558,24.9217,0.1975,15.0,1.0,0.5218,0.0046
EXP2019,Thésée,Well-water,3,21,1500.0,368.2080,284.6518,23.4985,0.2439,15.0,1.0,0.5229,0.0046
EXP2019,Thésée,Well-water,3,21,1000.1,371.1330,294.6203,21.1570,0.3163,15.0,1.0,0.5174,0.0046
EXP2019,Thésée,Well-water,3,21,500.0,377.3440,316.2452,16.2870,0.4372,15.0,1.0,0.5094,0.0045
EXP2019,Thésée,Well-water,3,21,200.0,386.9720,350.1018,8.7480,0.5348,15.0,1.0,0.4879,0.0044
EXP2019,Thésée,Well-water,3,21,150.0,389.3530,356.5236,6.9691,0.5620,15.0,1.0,0.4453,0.0040
EXP2019,Thésée,Well-water,3,21,120.0,391.0390,359.7867,5.7466,0.5816,15.0,1.0,0.3868,0.0035
EXP2019,Thésée,Well-water,3,21,90.0,392.9540,363.2943,4.5172,0.5997,15.0,1.0,0.3222,0.0030
EXP2019,Thésée,Well-water,3,21,60.0,395.3710,370.3775,2.8740,0.6182,15.0,1.0,0.2535,0.0024
EXP2019,Thésée,Well-water,3,21,40.0,396.8940,373.8880,1.8859,0.6331,15.0,1.0,0.1832,0.0017
EXP2019,Thésée,Well-water,3,21,1000.0,371.8990,288.0438,20.7603,0.3226,15.0,1.0,0.4554,0.0041
EXP2019,Thésée,Well-water,3,21,1000.0,184.3520,137.8442,11.7973,0.2811,15.0,1.0,0.4635,0.0041
EXP2019,Thésée,Well-water,3,21,1000.0,93.1012,72.3745,5.2794,0.2358,15.0,1.0,0.4699,0.0042
EXP2019,Thésée,Well-water,3,21,1000.0,47.9141,41.0150,1.7116,0.2052,15.0,1.0,0.4773,0.0042
EXP2019,Thésée,Well-water,3,21,1000.0,374.2830,301.5237,18.7641,0.2916,15.0,1.0,0.4820,0.0043
EXP2019,Thésée,Well-water,3,21,1000.1,372.5530,294.6772,20.1407,0.3101,15.0,1.0,0.4805,0.0043
EXP2019,Thésée,Well-water,3,21,1000.1,372.0350,291.1184,20.5914,0.3161,15.0,1.0,0.4705,0.0042
EXP2019,Thésée,Well-water,3,21,1000.1,617.2750,520.1898,23.2695,0.3071,15.0,1.0,0.4554,0.0041
EXP2019,Thésée,Well-water,3,21,999.8,966.8070,861.3884,22.3733,0.2885,15.0,1.0,0.4216,0.0038
EXP2019,Thésée,Well-water,3,21,999.9,1465.8500,1326.0696,22.2748,0.2812,15.0,1.0,0.3189,0.0029
EXP2019,Thésée,Well-water,3,2,200.0,983.8200,878.1655,10.8141,0.5153,15.0,1.0,0.1967,0.0019
EXP2019,Thésée,Well-water,3,2,150.0,987.1860,892.2459,8.3136,0.5344,15.0,1.0,0.1710,0.0016
EXP2019,Thésée,Well-water,3,2,120.0,989.4610,898.1227,6.8139,0.5480,15.0,1.0,0.1463,0.0014
EXP2019,Thésée,Well-water,3,2,90.0,992.0700,903.9186,5.0989,0.5617,15.0,1.0,0.1137,0.0011
EXP2019,Thésée,Well-water,3,2,60.0,994.6390,917.1062,3.2517,0.5775,15.0,1.0,0.0846,0.0008
EXP2019,Thésée,Well-water,3,2,39.8,996.4980,930.0651,2.0116,0.5913,15.0,1.0,0.0636,0.0006
EXP2019,Thésée,Well-water,4,21,2000.2,362.7570,239.7609,27.3425,0.2494,15.9,1.0,0.3961,0.0036
EXP2019,Thésée,Well-water,4,21,1500.2,364.5000,242.9726,25.9673,0.3068,15.3,1.0,0.3801,0.0035
EXP2019,Thésée,Well-water,4,21,1000.1,367.1180,254.4957,23.9948,0.3974,14.9,1.0,0.3806,0.0035
EXP2019,Thésée,Well-water,4,21,500.0,373.4420,281.2802,19.1363,0.5402,15.0,1.0,0.3757,0.0034
EXP2019,Thésée,Well-water,4,21,200.1,385.0720,331.4224,10.3058,0.6243,15.0,1.0,0.3663,0.0034
EXP2019,Thésée,Well-water,4,21,150.0,387.9660,343.6950,8.0164,0.6422,15.0,1.0,0.3541,0.0033
EXP2019,Thésée,Well-water,4,21,120.1,389.9440,350.8760,6.5965,0.6556,15.0,1.0,0.3370,0.0031
EXP2019,Thésée,Well-water,4,21,90.0,392.1520,359.0502,5.0120,0.6680,15.0,1.0,0.3120,0.0029
