Date.actual,Rep,ID,spp,E,A,Ci,gsw,TleafEB,Qin,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf
03/01/2017,1,1,dael,0.000349657,1.718725133,240.1924606,0.018582063,27.26505944,899.914,4.486,398.347,400.014,24.2623,23.9562,500.002,26.3617,26.3279
03/01/2017,1,1,dael,0.000388396,1.098750785,206.5148291,0.02080882,27.24331099,900.222,4.486,298.906,299.996,24.3396,23.9996,499.981,26.3519,26.3227
03/01/2017,1,1,dael,0.000354814,0.58464467,144.7537086,0.018974325,27.22713854,899.909,4.486,199.396,199.984,24.2808,23.9702,500.016,26.3286,26.296
03/01/2017,1,1,dael,0.000384954,-0.002368371,97.18153913,0.020567227,27.23870802,899.933,4.486,99.9599,99.9923,24.2856,23.9486,499.99,26.3479,26.3152
03/01/2017,1,1,dael,0.000395149,-0.079258907,78.76677513,0.021167876,27.2355113,899.926,4.486,75.0584,75.0139,24.3185,23.9726,500.009,26.3478,26.3108
03/01/2017,1,1,dael,0.000425057,-0.260415792,66.79719334,0.022821271,27.21923244,899.951,4.486,50.212,49.9975,24.3022,23.9301,499.991,26.34,26.2956
03/01/2017,1,1,dael,0.000433176,-0.376900944,50.26362118,0.023251854,27.21594214,899.962,4.486,25.3468,25.0185,24.2911,23.9119,500.007,26.3394,26.2969
03/01/2017,1,1,dael,0.000436809,2.292768564,231.1884348,0.023442551,27.20990806,899.968,4.486,397.782,399.995,24.2682,23.8858,499.992,26.3339,26.2913
03/01/2017,1,1,dael,0.00037278,1.404413216,274.9368395,0.019871242,27.24099667,899.939,4.486,398.588,399.982,24.248,23.9215,499.767,26.3438,26.2895
03/01/2017,1,1,dael,0.000439112,3.489731922,344.8336887,0.023591617,27.20622407,899.948,4.486,596.642,600.008,24.28,23.8956,500.007,26.3309,26.2844
03/01/2017,1,1,dael,0.000394671,4.532295965,432.976009,0.021150218,27.21025141,899.994,4.486,795.621,799.969,24.2601,23.9146,500.012,26.3211,26.2684
03/01/2017,1,1,dael,0.00042359,5.463908447,585.7098889,0.022782812,27.19526134,899.985,4.486,994.684,999.964,24.28,23.9092,500.023,26.3155,26.2689
03/01/2017,1,1,dael,0.000416825,6.167453119,723.5448064,0.022425866,27.18931881,900.02,4.486,1194.06,1200.04,24.2694,23.9045,499.999,26.3075,26.2498
03/01/2017,1,1,dael,0.00040777,6.713488901,964.3954005,0.021904475,27.18236305,900.009,4.486,1493.56,1500.13,24.2295,23.8725,499.982,26.2964,26.2404
04/01/2017,1,13,pike,0.002128972,13.65437109,1254.802626,0.120091716,26.93182668,1000.21,5.554,1481.28,1499.95,20.181,17.8639,500.008,26.3805,25.4593
04/01/2017,1,13,pike,0.002127239,14.22282157,956.3570475,0.120295665,26.92539244,1000.24,5.554,1181.5,1200.09,20.2597,17.9447,500.014,26.3736,25.4758
04/01/2017,1,13,pike,0.002026613,14.97688973,740.3049378,0.113810975,26.94090039,1000,5.554,981.184,1000.03,20.2399,18.0342,499.977,26.3553,25.5009
04/01/2017,1,13,pike,0.001952293,14.40852213,548.1626077,0.109893159,26.9607609,1000.03,5.554,782.32,800.021,20.3556,18.2312,500.015,26.3485,25.5208
04/01/2017,1,13,pike,0.0018767,11.97319795,385.3579228,0.105357308,26.93669607,1000.08,5.554,585.497,600.017,20.284,18.2417,500.013,26.2998,25.4951
04/01/2017,1,13,pike,0.001895924,7.995827553,257.8222763,0.106371632,26.91098999,1000.09,5.554,390.32,400.023,20.336,18.273,500.04,26.2814,25.5256
04/01/2017,1,13,pike,0.001874028,5.806965561,194.8440154,0.10446195,26.92964286,1000.12,5.554,292.968,300.028,20.2725,18.2331,500.017,26.2905,25.5436
04/01/2017,1,13,pike,0.001972915,3.448015647,139.5584329,0.110233992,26.89600189,1000.14,5.554,195.718,199.977,20.3177,18.1707,499.997,26.2916,25.563
04/01/2017,1,13,pike,0.002113563,2.272801945,112.1639176,0.11960047,26.80806556,999.874,5.554,147.12,149.99,20.2843,17.9842,500.005,26.2515,25.4803
04/01/2017,1,13,pike,0.002178438,1.070269861,81.82295561,0.124098086,26.75908848,1000.19,5.554,98.5975,100.025,20.2512,17.8803,499.98,26.2225,25.4307
04/01/2017,1,13,pike,0.002270676,0.589333166,64.74693404,0.13050695,26.66796968,999.953,5.554,74.1649,75.0066,20.173,17.7016,499.997,26.1654,25.3462
04/01/2017,1,13,pike,0.002420924,-0.20800253,51.11400345,0.140019639,26.57735389,1000,5.554,50.1076,50.0113,20.049,17.4138,500.009,26.126,25.274
04/01/2017,1,13,pike,0.002541581,-0.885284642,34.90256101,0.148515388,26.52107905,1000.02,5.554,25.9177,25.0075,20.0755,17.309,500.002,26.111,25.2328
04/01/2017,1,13,pike,0.002622838,-1.591644305,18.89195898,0.154782971,26.46773968,999.761,5.554,2.18212,0.420479,20.0615,17.2065,500,26.0853,25.1702
04/01/2017,1,13,pikr,0.00134872,12.94143406,1102.194556,0.066470653,25.85699242,900.001,8.014,1460.25,1500.08,18.9583,15.4239,300.015,25.2312,25.7441
04/01/2017,1,13,pikr,0.001334426,12.54033156,814.9333526,0.064717479,26.00010809,899.999,8.014,1162.26,1199.9,18.9814,15.4846,300.02,25.3694,25.9127
04/01/2017,1,13,pikr,0.00131226,11.52571629,648.6113398,0.064319608,25.91061785,900.003,8.014,965.928,1000.1,18.9916,15.553,300.027,25.2719,25.7884
04/01/2017,1,13,pikr,0.001258768,9.76031995,495.3983751,0.062018971,25.8745583,900.027,8.014,771.339,800.005,19.0334,15.7349,300.008,25.2177,25.7234
04/01/2017,1,13,pikr,0.001232987,7.528658108,359.8645898,0.060232655,25.94147004,899.999,8.014,577.946,599.961,19.0353,15.8043,300.002,25.2776,25.8367
04/01/2017,1,13,pikr,0.001213676,4.72897513,244.3433369,0.058434552,26.06794674,900.011,8.014,386.028,399.915,19.0517,15.8707,299.94,25.3971,25.9531
04/01/2017,1,13,pikr,0.001165197,3.325278306,185.3969146,0.055653173,26.18661302,899.995,8.014,290.181,299.965,19.1983,16.1461,300.066,25.4988,26.0978
04/01/2017,1,13,pikr,0.001136172,1.863905864,132.081638,0.053215983,26.4021799,900,8.014,194.391,199.961,19.3306,16.3537,299.952,25.7053,26.3378
04/01/2017,1,13,pikr,0.001097266,1.13949047,106.0660921,0.051057439,26.5560011,899.993,8.014,146.55,150.023,19.5939,16.7206,300.045,25.8459,26.5199
04/01/2017,1,13,pikr,0.001060443,0.430763526,81.43227164,0.049622377,26.49739921,900.038,8.014,98.5771,100.007,19.584,16.8068,300.013,25.7748,26.396
04/01/2017,1,13,pikr,0.00101979,0.124495561,67.78366932,0.04769878,26.50844035,900.008,8.014,74.4591,74.9944,19.6198,16.9496,300.062,25.7742,26.3872
04/01/2017,1,13,pikr,0.001010212,-0.21930071,56.25713945,0.046092814,26.77047367,899.995,8.014,50.4599,50.0102,19.746,17.1004,299.969,26.0324,26.7201
04/01/2017,1,13,pikr,0.000985314,-0.529174232,44.16846156,0.044783908,26.84087726,899.964,8.014,26.3364,24.9922,19.8503,17.2706,300.018,26.0941,26.7771
04/01/2017,1,13,pikr,0.000960713,-0.66580778,33.303698,0.043577737,26.8843994,900.041,8.014,9.3927,7.63824,19.9277,17.4125,300.005,26.1292,26.8047
05/01/2017,1,17,daim,0.00146997,17.69400196,915.8203902,0.120304121,26.35199945,599.998,3.627,1176.4,1199.88,28.13,26.403,300.035,26.1796,26.4113
05/01/2017,1,17,daim,0.001303112,7.56860507,264.785898,0.103609077,26.45881881,600.005,3.627,390.251,400.015,28.0955,26.5645,300.039,26.2448,26.5115
