TreeID,USDA_Code,Common Name,Genus,Species,Lat,Long,DBH_1,DBH_2
14,QURU,Red Oak,Quercus,rubra,41.4044,-74.01269,37.4,NA
15,QUMO4,Chestnut Oak,Quercus,montana,41.39607,-74.01242,40.2,NA
16,ACRU,Red Maple,Acer,rubrum,41.39602,-74.01228,22.6,NA
17,QURU,Red Oak,Quercus,rubra,41.39609,-74.01218,33.8,NA
18,ACRU,Red Maple,Acer,rubrum,41.39637,-74.01186,18.2,NA
19,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39694,-74.01136,25.7,NA
20,QURU,Red Oak,Quercus,rubra,41.3969,-74.01111,43.2,NA
21,QUAL,White Oak,Quercus,alba,41.39831,-74.01053,49.8,NA
22,ACRU,Red Maple,Acer,rubrum,41.3984,-74.01039,20.7,NA
23,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39844,-74.01041,25.6,NA
24,QUMO4,Chestnut Oak,Quercus,montana,41.39876,-74.01077,37.8,NA
25,QURU,Red Oak,Quercus,rubra,41.39854,-74.01071,31,NA
38,QUMO4,Chestnut Oak,Quercus,montana,41.39897,-74.01051,25.3,NA
39,ACRU,Red Maple,Acer,rubrum,41.399,-74.0105,14.6,NA
40,QUMO4,Chestnut Oak,Quercus,montana,41.39887,-74.01029,26.2,NA
41,QURU,Red Oak,Quercus,rubra,41.39888,-74.01038,49.7,NA
42,QURU,Red Oak,Quercus,rubra,41.39869,-74.00998,30.2,NA
43,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39883,-74.0106,18.2,NA
44,QURU,Red Oak,Quercus,rubra,41.40184,-74.01241,64.5,NA
45,ACRU,Red Maple,Acer,rubrum,41.40191,-74.01236,27.5,NA
46,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40112,-74.01173,37,43
47,QURU,Red Oak,Quercus,rubra,41.40016,-74.01156,64,NA
48,ACRU,Red Maple,Acer,rubrum,41.40196,-74.01233,41.5,NA
60,QUMO4,Chestnut Oak,Quercus,montana,41.39883,-74.0105,26.2,NA
61,ACRU,Red Maple,Acer,rubrum,41.39884,-74.01043,14.5,NA
62,QUAL,White Oak,Quercus,alba,41.39888,-74.00991,15,NA
63,QUMO4,Chestnut Oak,Quercus,montana,41.3988,-74.01012,26.5,NA
64,ACRU,Red Maple,Acer,rubrum,41.39888,-74.01031,15.9,NA
65,QURU,Red Oak,Quercus,rubra,41.3988,-74.00971,38.5,NA
66,QUAL,White Oak,Quercus,alba,41.39855,-74.01051,36,NA
67,QUAL,White Oak,Quercus,alba,41.39863,-74.01047,35.2,NA
68,ACRU,Red Maple,Acer,rubrum,41.39865,-74.01048,16.6,NA
69,ACRU,Red Maple,Acer,rubrum,41.39808,-74.01045,20.8,NA
70,QURU,Yellow Birch,Betula,alleghaniensis,41.3981,-74.01069,50.1,NA
77,QUAL,White Oak,Quercus,alba,41.39896,-74.01065,39.5,NA
78,QURU,Red Oak,Quercus,rubra,41.39892,-74.01023,58,NA
79,ACRU,Red Maple,Acer,rubrum,41.39885,-74.00953,21.5,NA
80,QURU,Red Oak,Quercus,rubra,41.39884,-74.01019,23,NA
81,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39921,-74.01097,21.5,NA
88,QUAL,White Oak,Quercus,alba,41.39797,-74.01066,33.5,NA
89,QUAL,White Oak,Quercus,alba,41.39722,-74.01082,49,NA
90,ACRU,Red Maple,Acer,rubrum,41.39732,-74.01078,18.5,NA
91,ACRU,Red Maple,Acer,rubrum,41.39777,-74.01057,12,NA
92,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39769,-74.01076,29,NA
93,QURU,Red Oak,Quercus,rubra,41.39821,-74.01047,24.5,NA
99,QURU,Red Oak,Quercus,rubra,41.39886,-74.00992,19.1,NA
100,ACRU,Red Maple,Acer,rubrum,41.39896,-74.01033,12.8,NA
101,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39872,-74.01031,9.2,NA
102,ACRU,Red Maple,Acer,rubrum,41.39893,-74.00971,17.7,NA
109,QURU,Red Oak,Quercus,rubra,41.3989,-74.01086,42.3,NA
110,QURU,Red Oak,Quercus,rubra,41.39885,-74.01077,37.8,NA
111,BEAL2,Yellow Birch,Betula,alleghaniensis,41.3978,-74.01063,24.7,NA
120,ACRU,Red Maple,Acer,rubrum,41.39896,-74.00966,22,NA
121,ACRU,Red Maple,Acer,rubrum,41.399,-74.00932,10,NA
122,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39901,-74.00919,24,NA
123,QURU,Red Oak,Quercus,rubra,41.39886,-74.00968,38.5,NA
124,QURU,Red Oak,Quercus,rubra,41.39771,-74.01066,53.5,NA
125,BEAL2,Yellow Birch,Betula,alleghaniensis,41.39767,-74.01081,18.5,NA
130,QUAL,White Oak,Quercus,alba,41.39514,-74.01349,21.2,NA
131,QUAL,White Oak,Quercus,alba,41.39485,-74.01356,20.8,NA
132,QURU,Red Oak,Quercus,rubra,41.39494,-74.01366,12.5,NA
133,QURU,Red Oak,Quercus,rubra,41.39504,-74.01344,34.5,NA
