SampleID,Species_code,Species,Site,Subsite,Tree,TreeID,Instrument,Facsicle_Diameter1,Facsicle_Diameter2,Gasex_Area
BNL19732,PITA,Pinus taeada,1,1,1,1_1_1,Mikaela,1.72,1.71,6.318
BNL19738,PITA,Pinus taeada,1,1,1,1_1_1,Mikaela,1.72,1.59,6.097
BNL19729,PIPA2,Pinus palustris,1,1,2,1_1_2,Julia,1.68,1.62,6.079
BNL19735,PIPA2,Pinus palustris,1,1,2,1_1_2,Julia,1.57,1.74,6.097
BNL19731,PITA,Pinus taeada,1,1,3,1_1_3,Lindsey,1.68,1.73,6.281
BNL19737,PITA,Pinus taeada,1,1,3,1_1_3,Lindsey,1.2,1.32,4.642
BNL19734,PITA,Pinus taeada,1,1,4,1_1_4,Bernie,1.78,1.67,6.355
BNL19730,PIPA2,Pinus palustris,1,1,5,1_1_5,Picabo,1.6,1.54,5.784
BNL19740,PIPA2,Pinus palustris,1,1,5,1_1_5,Bernie,1.56,1.6,5.821
BNL19733,PIPA2,Pinus palustris,1,1,40,1_1_40,Bernie,1.58,1.38,5.452
BNL19736,PIPA2,Pinus palustris,1,1,40,1_1_40,Picabo,1.81,1.83,6.705
BNL19739,PITA,Pinus taeada,1,1,41,1_1_41,Bernie,1.87,1.72,6.613
BNL15300,PITA,Pinus taeada,1,2,1,1_2_1,Bernie,1.86,1.74,6.631
BNL15302,PITA,Pinus taeada,1,2,1,1_2_1,Julia,1.85,1.6,6.355
BNL15269,PITA,Pinus taeada,1,2,2,1_2_2,Picabo,1.61,1.56,5.839
BNL15298,PITA,Pinus taeada,1,2,2,1_2_2,Picabo,1.52,1.44,5.452
BNL15297,PITA,Pinus taeada,1,2,3,1_2_3,Mikaela,2.04,1.83,7.129
BNL19728,PITA,Pinus taeada,1,2,3,1_2_3,Mikaela,1.85,1.96,7.018
BNL15299,PITA,Pinus taeada,1,2,4,1_2_4,Lindsey,1.8,1.8,6.631
BNL15303,PITA,Pinus taeada,1,2,4,1_2_4,Lindsey,1.86,1.79,6.723
BNL15268,PIPA2,Pinus palustris,1,2,5,1_2_5,Bernie,1.44,1.38,5.194
BNL15296,PIPA2,Pinus palustris,1,2,5,1_2_5,Julia,1.43,1.36,5.139
BNL15301,PITA,Pinus taeada,1,2,41,1_2_41,Bernie,1.67,1.64,6.097
BNL15242,PITA,Pinus taeada,3,1,1,3_1_1,Mikaela,1.62,1.55,5.839
BNL15246,PITA,Pinus taeada,3,1,1,3_1_1,Bernie,1.63,1.48,5.729
BNL15244,PITA,Pinus taeada,3,1,3,3_1_3,Bernie,1.67,1.7,6.208
BNL15247,PITA,Pinus taeada,3,1,3,3_1_3,Julia,1.59,1.6,5.876
BNL15241,PITA,Pinus taeada,3,1,4,3_1_4,Picabo,1.53,1.67,5.894
BNL15295,PITA,Pinus taeada,3,1,4,3_1_4,Picabo,1.45,1.5,5.434
BNL15240,PITA,Pinus taeada,3,1,5,3_1_5,Lindsey,1.65,1.55,5.894
BNL15294,PITA,Pinus taeada,3,1,5,3_1_5,Lindsey,1.44,1.49,5.397
BNL15245,PITA,Pinus taeada,3,1,40,3_1_40,Bernie,1.09,1.8,5.323
BNL15243,PITA,Pinus taeada,3,1,41,3_1_41,Julia,2.01,2,7.386
BNL15250,PITA,Pinus taeada,3,1,41,3_1_41,Julia,1.95,2,7.276
BNL15236,PIPA2,Pinus palustris,3,2,1,3_2_1,Bernie,1.55,1.65,5.894
BNL15235,PIPA2,Pinus palustris,3,2,2,3_2_2,Picabo,1.29,1.33,4.826
BNL15238,PIPA2,Pinus palustris,3,2,2,3_2_2,Bernie,1.24,1.38,4.826
BNL15223,PITA,Pinus taeada,3,2,4,3_2_4,Julia,1.53,1.52,5.618
BNL15237,PITA,Pinus taeada,3,2,4,3_2_4,Picabo,1.75,1.65,6.263
BNL15239,PITA,Pinus taeada,3,2,4,3_2_4,Julia,1.55,1.59,5.784
BNL15233,PIPA2,Pinus palustris,3,2,5,3_2_5,Mikaela,1.45,1.41,5.268
BNL15248,PIPA2,Pinus palustris,3,2,5,3_2_5,Mikaela,1.42,1.44,5.268
BNL15232,PITA,Pinus taeada,3,2,40,3_2_40,Bernie,1.81,1.78,6.613
BNL15234,PIPA2,Pinus palustris,3,2,41,3_2_41,Lindsey,1.27,1.2,4.55
BNL15249,PIPA2,Pinus palustris,3,2,41,3_2_41,Lindsey,1.48,1.41,5.323
BNL15222,PIPA2,Pinus palustris,5,1,1,5_1_1,Bernie,1.58,1.69,6.023
BNL15227,PIPA2,Pinus palustris,5,1,1,5_1_1,Lindsey,1.74,1.6,6.152
BNL15226,PITA,Pinus taeada,5,1,2,5_1_2,Picabo,1.34,1.31,4.881
BNL15224,PIPA2,Pinus palustris,5,1,4,5_1_4,Julia,1.61,1.53,5.784
BNL15229,PIPA2,Pinus palustris,5,1,4,5_1_4,Lindsey,1.68,1.72,6.263
BNL15230,PIPA2,Pinus palustris,5,1,4,5_1_4,Julia,1.5,1.59,5.692
BNL15225,PITA,Pinus taeada,5,1,5,5_1_5,Mikaela,1.96,2.1,7.479
BNL15231,PITA,Pinus taeada,5,1,5,5_1_5,Mikaela,1.93,2.01,7.257
BNL15220,PITA,Pinus taeada,5,1,40,5_1_40,Bernie,1.71,1.73,6.336
BNL15221,PIPA2,Pinus palustris,5,1,42,5_1_42,Bernie,1.63,1.61,5.968
BNL15228,PIPA2,Pinus palustris,5,1,42,5_1_42,Picabo,1.5,1.5,5.526
BNL15215,PIPA2,Pinus palustris,5,2,1,5_2_1,Picabo,1.6,1.62,5.931
BNL15217,PIPA2,Pinus palustris,5,2,1,5_2_1,Picabo,1.69,1.64,6.134
BNL15214,PITA,Pinus taeada,5,2,2,5_2_2,Lindsey,1.74,1.85,6.613
BNL15218,PITA,Pinus taeada,5,2,2,5_2_2,Lindsey,1.85,1.82,6.76
BNL15213,PITA,Pinus taeada,5,2,3,5_2_3,Julia,1.74,1.7,6.336
BNL15219,PITA,Pinus taeada,5,2,3,5_2_3,Julia,1.7,1.63,6.134
BNL15256,PITA,Pinus taeada,5,2,3,5_2_3,Bernie,1.72,1.65,6.208
BNL15212,PITA,Pinus taeada,5,2,4,5_2_4,Mikaela,1.84,1.7,6.521
BNL15258,PITA,Pinus taeada,5,2,4,5_2_4,Bernie,1.7,1.75,6.355
BNL15216,PIPA2,Pinus palustris,5,2,40,5_2_40,Mikaeka,1.5,1.46,5.452
BNL15255,PIPA2,Pinus palustris,5,2,40,5_2_40,Bernie,1.43,1.52,5.434
BNL15257,PIPA2,Pinus palustris,5,2,41,5_2_41,Bernie,1.59,1.67,6.005
BNL15209,PIPA2,Pinus palustris,NA,NA,NA,NA,Bernie,1.3,1.35,4.881
BNL15210,PITA,Pinus taeada,NA,NA,NA,NA,Lindsey,1.8,1.6,6.263
BNL15211,PIPA2,Pinus palustris,NA,NA,NA,NA,Mikaela,1.45,1.45,5.342
