time,date,Machine,SampleID,Remove,A,Ci,VPDleaf,Tair,Tleaf,TBlk,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
12:05:54,20200122,Lindsey,BNL17167,NO,0.38,363.24,1.4,28.74,28.01,28.83,390.6,390,23.55,24.02,60.54,600.03,20,99.65
12:03:54,20200122,Lindsey,BNL17167,NO,0.82,345.86,1.4,28.72,28,28.85,391,390,23.46,23.98,60.52,600.02,30,99.65
12:01:53,20200122,Lindsey,BNL17167,NO,1.14,336.69,1.4,28.75,27.99,28.88,391.4,390.1,23.35,23.93,60.27,600.02,40,99.65
11:59:53,20200122,Lindsey,BNL17167,NO,1.5,327.83,1.39,28.75,27.99,28.91,391.8,390,23.4,24.02,60.53,600.02,50,99.65
11:57:52,20200122,Lindsey,BNL17167,NO,1.88,322.35,1.41,28.76,28,28.9,392.2,390,23.19,23.9,60.2,600.01,60,99.65
11:55:52,20200122,Lindsey,BNL17167,NO,2.3,312.62,1.41,28.76,28.01,28.86,392.6,390,23.13,23.89,60.14,600.02,70,99.66
11:53:51,20200122,Lindsey,BNL17167,NO,2.51,313.54,1.4,28.76,27.99,28.84,392.8,390,23.17,24,60.43,600.02,80,99.66
11:51:51,20200122,Lindsey,BNL17167,NO,2.81,313.19,1.4,28.78,28.01,28.81,393.1,389.9,23.02,23.95,60.21,600.02,90,99.66
11:49:50,20200122,Lindsey,BNL17167,NO,3.26,308.32,1.39,28.8,27.99,28.76,393.6,390,23.04,24.03,60.39,600.02,100,99.66
11:47:50,20200122,Lindsey,BNL17167,NO,3.85,295.43,1.4,28.84,28.02,28.7,394.3,390.1,22.99,23.99,60.14,600.03,125,99.66
11:45:49,20200122,Lindsey,BNL17167,NO,5.91,255.36,1.4,28.8,28.01,28.66,396.3,390,22.96,24.01,60.32,600.02,250,99.66
11:43:49,20200122,Lindsey,BNL17167,NO,6.41,251.07,1.4,28.77,28.02,28.63,396.9,390,22.94,24.04,60.49,600.02,375,99.66
11:41:48,20200122,Lindsey,BNL17167,NO,6.64,252.31,1.4,28.73,28.01,28.62,397.1,390,22.84,23.99,60.5,600.03,500,99.67
11:39:48,20200122,Lindsey,BNL17167,NO,6.78,251.61,1.4,28.62,28.01,28.61,397.3,390.1,22.87,24.04,61.01,600.03,750,99.66
11:37:47,20200122,Lindsey,BNL17167,NO,6.96,250,1.39,28.51,28.01,28.61,397.4,390,22.94,24.12,61.62,600.02,1000,99.67
11:35:46,20200122,Lindsey,BNL17167,NO,6.9,256.89,1.38,28.36,27.96,28.65,397.4,390,22.87,24.09,62.07,600.02,1250,99.67
11:33:46,20200122,Lindsey,BNL17167,NO,6.95,257.96,1.4,28.27,27.99,28.74,397.4,390,22.68,23.94,62.04,600.03,1500,99.68
12:08:08,20200122,Lindsey,BNL17167,YES,2.59,319.31,1.23,27.39,27.54,28.86,392.9,390,23.92,24.73,67.44,599.99,1800,99.65
11:29:45,20200122,Lindsey,BNL17167,YES,6.87,256.56,1.4,28.09,27.99,28.92,397.3,389.9,22.74,23.97,62.77,600.01,1800,99.69
11:31:45,20200122,Lindsey,BNL17167,NO,6.86,253.53,1.39,28.1,27.98,28.82,397.3,390,22.85,24.04,62.92,600.02,1800,99.68
17:04:18,20200122,Andy,BNL17168,NO,-0.77,415,1.13,29.91,28.87,30.44,400.1,400.7,27.98,28.76,67.49,500.1,0,99.46
17:01:58,20200122,Andy,BNL17168,NO,-0.22,399,1.11,29.44,28.77,29.79,400,399.9,28.05,28.78,69.39,500.1,10,99.47
16:59:22,20200122,Andy,BNL17168,NO,0.15,388,1.12,29.71,28.88,30.13,399.9,399.4,28.1,28.91,68.63,500.1,21,99.47
16:57:01,20200122,Andy,BNL17168,NO,0.82,370,1.11,29.61,28.87,29.97,399.9,398.6,28.14,28.98,69.19,500.1,39,99.47
16:54:40,20200122,Andy,BNL17168,NO,1.49,355,1.11,29.62,28.9,29.97,399.9,397.8,28.14,29.04,69.3,500,61,99.47
16:52:18,20200122,Andy,BNL17168,NO,3.09,320,1.11,29.61,28.92,29.97,400,395.9,28.13,29.09,69.43,500,125,99.48
16:49:56,20200122,Andy,BNL17168,NO,4.25,299,1.11,29.61,28.94,29.97,400,394.5,28.13,29.16,69.63,500,200,99.48
16:47:21,20200122,Andy,BNL17168,NO,4.69,296,1.09,29.59,28.89,29.97,400,393.9,28.14,29.22,69.84,500,249,99.48
16:44:59,20200122,Andy,BNL17168,NO,5.59,284,1.08,29.47,28.91,29.82,400.1,392.9,28.19,29.32,70.58,500,376,99.48
16:42:37,20200122,Andy,BNL17168,NO,5.96,284,1.07,29.45,28.93,29.82,399.9,392.3,28.26,29.46,71.01,500,501,99.49
16:40:15,20200122,Andy,BNL17168,NO,6.4,287,1.05,29.25,28.91,29.62,400.1,391.8,28.34,29.65,72.28,500.1,750,99.49
16:37:53,20200122,Andy,BNL17168,NO,6.64,292,1.01,28.84,28.8,29.21,400,391.5,28.44,29.82,74.44,500.1,1001,99.49
16:35:25,20200122,Andy,BNL17168,NO,6.8,294,1.01,28.43,28.87,28.49,400.2,391.4,28.57,30,76.73,500.1,1250,99.5
16:13:40,20200122,Andy,BNL17168,YES,6.37,300,0.97,28.23,29.07,28.06,399.7,391.5,29.49,30.88,79.89,500.1,1501,99.53
16:28:38,20200122,Andy,BNL17168,YES,6.73,300,1.02,28.76,29.13,28.92,399.9,391.2,28.89,30.44,76.37,500.1,1501,99.52
16:33:03,20200122,Andy,BNL17168,NO,6.88,296,1.04,28.47,29.1,28.49,400.1,391.2,28.69,30.23,77.12,500.1,1501,99.5
18:22:24,20200122,Derek,BNL17170,NO,-1.58,448,1.25,30.75,28.92,31.6,399.9,401.5,27.02,27.71,61.93,499.8,1,99.36
18:21:23,20200122,Derek,BNL17170,NO,-0.69,416,1.24,30.64,28.87,31.43,399.8,400.4,27.01,27.71,62.28,499.8,21,99.37
18:20:22,20200122,Derek,BNL17170,NO,0.46,376,1.24,30.64,28.91,31.43,400.1,399.2,27,27.74,62.37,499.8,51,99.37
18:19:21,20200122,Derek,BNL17170,NO,1.13,356,1.25,30.64,28.93,31.43,400.1,398.4,26.98,27.78,62.47,499.8,75,99.37
18:18:20,20200122,Derek,BNL17170,NO,1.81,339,1.24,30.63,28.93,31.43,399.9,397.4,26.97,27.82,62.59,499.8,100,99.37
18:17:19,20200122,Derek,BNL17170,NO,2.87,313,1.24,30.61,28.94,31.43,399.9,396.1,26.95,27.86,62.73,499.8,149,99.38
18:16:18,20200122,Derek,BNL17170,NO,3.64,298,1.23,30.58,28.92,31.43,400.1,395.3,26.93,27.89,62.95,499.8,200,99.38
18:15:17,20200122,Derek,BNL17170,NO,4.37,286,1.21,30.46,28.82,31.38,400.1,394.4,26.89,27.9,63.4,499.9,249,99.38
18:14:10,20200122,Derek,BNL17170,NO,5.36,268,1.21,30.25,28.83,31.19,400,393.2,26.87,27.93,64.21,499.9,374,99.38
18:13:00,20200122,Derek,BNL17170,NO,5.77,261,1.2,29.98,28.8,30.77,400.1,392.7,26.85,27.91,65.19,499.8,500,99.39
18:11:41,20200122,Derek,BNL17170,NO,6.37,254,1.2,29.58,28.81,30.38,399.7,391.6,26.81,27.94,66.79,500.6,750,99.39
18:10:33,20200122,Derek,BNL17170,NO,7.02,246,1.2,29.13,28.84,29.81,400.1,391.2,26.79,27.96,68.6,499.7,999,99.39
18:08:49,20200122,Derek,BNL17170,NO,7.38,240,1.2,28.4,28.81,28.73,399.9,390.5,26.74,27.93,71.45,499.8,1250,99.39
18:03:59,20200122,Derek,BNL17170,YES,7.84,237,1.29,28.17,29.09,28.09,399.7,389.8,26.42,27.76,71.99,499.7,1500,99.39
18:06:53,20200122,Derek,BNL17170,YES,7.92,226,1.26,27.91,29.03,27.59,400,390,26.62,27.85,73.3,499.8,1500,99.39
18:24:07,20200122,Derek,BNL17170,YES,5.13,30.6,1.33,27.01,29.19,25.15,400.1,393.7,27.13,27.5,76.29,499.8,1500,99.36
17:53:49,20200122,Mariano,BNL17171,NO,-0.98,418,1.73,30.23,29.14,30.96,400,400.7,22.27,23.41,53.94,499.7,0,99.45
17:51:48,20200122,Mariano,BNL17171,NO,-0.56,403,1.69,30.19,29.07,30.96,400,400.1,22.29,23.57,54.41,499.7,15,99.45
17:49:47,20200122,Mariano,BNL17171,NO,-0.05,390,1.67,30.17,29.02,30.96,399.9,399.3,22.32,23.74,54.87,499.6,30,99.45
17:47:38,20200122,Mariano,BNL17171,NO,1.12,364,1.63,30.15,28.96,30.96,400,398,22.38,23.92,55.35,499.6,59,99.46
17:45:37,20200122,Mariano,BNL17171,NO,2.62,338,1.61,30,28.92,30.77,400,396.2,22.45,24.12,56.29,499.5,121,99.46
17:43:32,20200122,Mariano,BNL17171,NO,3.61,325,1.58,29.98,28.93,30.77,400,395,22.52,24.35,56.9,499.4,181,99.46
17:41:31,20200122,Mariano,BNL17171,NO,4.47,314,1.56,29.84,28.93,30.57,400.1,394,22.63,24.53,57.78,499.4,250,99.46
17:39:30,20200122,Mariano,BNL17171,NO,4.5,318,1.54,29.8,28.89,30.57,400,393.8,22.75,24.75,58.43,499.3,301,99.47
17:37:29,20200122,Mariano,BNL17171,NO,5.32,308,1.5,29.32,28.84,29.9,399.9,392.7,22.9,24.94,60.55,499.3,401,99.47
17:35:23,20200122,Mariano,BNL17171,NO,5.36,312,1.5,29.18,28.95,29.63,399.8,392.5,23.04,25.2,61.68,499.3,500,99.48
17:33:22,20200122,Mariano,BNL17171,NO,5.77,309,1.48,29.02,28.94,29.44,400,392.2,23.14,25.36,62.65,499.3,600,99.49
17:31:21,20200122,Mariano,BNL17171,NO,6.05,309,1.46,28.75,28.92,29.14,400.1,391.9,23.25,25.55,64.13,499.3,750,99.49
17:29:20,20200122,Mariano,BNL17171,NO,6.38,307,1.43,28.21,28.86,28.35,400,391.4,23.37,25.69,66.5,499.2,901,99.48
17:27:19,20200122,Mariano,BNL17171,NO,6.53,307,1.43,27.94,28.89,27.96,399.9,391.1,23.45,25.84,67.97,499.4,1000,99.49
17:25:18,20200122,Mariano,BNL17171,NO,6.51,312,1.41,27.7,28.88,27.65,399.9,391.1,23.54,26.02,69.43,499.5,1099,99.49
17:23:17,20200122,Mariano,BNL17171,NO,6.98,309,1.39,27.02,28.84,26.62,400.1,390.7,23.58,26.12,72.52,499.5,1251,99.49
17:15:46,20200122,Mariano,BNL17171,YES,7.24,313,1.4,27.07,29.04,26.67,399.8,390,23.66,26.48,73.32,499.5,1499,99.5
17:21:16,20200122,Mariano,BNL17171,NO,7.22,304,1.46,26.75,29.2,25.84,399.8,390.1,23.64,26.26,74.06,499.6,1500,99.49
17:56:50,20200122,Mariano,BNL17171,YES,4.48,184,1.78,25.56,29.19,23.91,399.9,394.3,22.22,22.99,69.53,499.8,1500,99.45
19:28:59,20200122,Andy,BNL17182,NO,-0.75,438,1.48,31.22,29.56,31.96,390.1,390.8,26.57,26.94,58.57,500.1,1,99.28
