"record","time","date","Machine","SampleID","Remove","A","Ci","VPDleaf","Tair","Tleaf","CO2r","CO2s","H2Or","H2Os","RHs","flow","Qin","Patm","gsw"
"1","08:10:01","20220224","Andy","BNL20383","YES",12.6,283,1.55,27.36,29.94,416.6,400.11,23.39,26.815,73.76,500.1,1999,100.6,198
"2","08:16:12","20220224","Andy","BNL20383","YES",12.6,277,1.6,27.23,30.23,416.5,400,23.604,26.967,74.75,500,1999,100.6,187
"3","08:19:33","20220224","Andy","BNL20383","YES",13.7,174,1.66,23.52,29.98,417.21,399.95,23.789,25.787,89.18,500,3296,100.6,104
"4","08:22:54","20220224","Andy","BNL20383","NO",12.2,286,1.47,26.93,29.7,416.13,400.13,23.778,27.012,76.25,500.1,2000,100.6,197
"5","08:24:55","20220224","Andy","BNL20383","NO",12,283,1.51,27.92,29.84,415.65,400,23.757,26.928,71.72,500.1,1700,100.6,187
"6","08:26:56","20220224","Andy","BNL20383","NO",11.8,280,1.54,28.45,29.94,415.39,399.98,23.787,26.892,69.44,500,1501,100.6,179
"7","08:28:57","20220224","Andy","BNL20383","NO",11.6,278,1.55,28.65,29.97,415.34,400.12,23.823,26.859,68.57,500,1401,100.6,174
"8","08:30:58","20220224","Andy","BNL20383","NO",11.2,277,1.55,29.07,29.92,414.7,400.07,23.841,26.728,66.6,500,1201,100.6,165
"9","08:32:59","20220224","Andy","BNL20383","NO",10.6,275,1.56,29.58,29.91,414.03,400.2,23.897,26.596,64.34,499.9,1000,100.6,152
"10","08:35:00","20220224","Andy","BNL20383","NO",9.81,272,1.58,29.98,29.92,412.95,400.17,23.961,26.436,62.49,499.9,801,100.6,137
"11","08:37:01","20220224","Andy","BNL20383","NO",8.75,271,1.61,30.4,29.95,411.42,400,23.994,26.236,60.55,500,600,100.6,121
"12","08:39:02","20220224","Andy","BNL20383","NO",7.01,282,1.63,30.84,29.94,409.3,400.07,24.022,26.025,58.59,500,400,100.6,107
"13","08:41:03","20220224","Andy","BNL20383","NO",5.78,285,1.66,30.89,29.97,407.69,400.04,24.068,25.806,57.92,500,300,100.6,90.3
"14","08:43:04","20220224","Andy","BNL20383","NO",3.98,302,1.67,30.91,29.94,405.43,400.07,24.131,25.571,57.34,500,199,100.6,73.6
"15","08:45:06","20220224","Andy","BNL20383","NO",2.11,330,1.69,30.91,29.92,403.08,400.07,24.193,25.341,56.81,500,119,100.6,57.8
"16","08:47:07","20220224","Andy","BNL20383","NO",0.974,354,1.71,30.92,29.94,401.6,400.07,24.259,25.161,56.38,500,80,100.6,44.5
"17","08:49:08","20220224","Andy","BNL20383","NO",0.0319,387,1.73,30.93,29.96,400.39,400.06,24.352,25.053,56.11,500,50,100.6,34.1
"18","08:51:09","20220224","Andy","BNL20383","NO",-0.639,427,1.75,30.94,30.02,399.56,400.1,24.443,24.994,55.93,500.1,31,100.6,26.5
"19","08:53:10","20220224","Andy","BNL20383","NO",-1.05,469,1.76,30.96,30.07,399.01,400.09,24.552,24.988,55.87,500,20,100.6,20.7
"20","08:55:11","20220224","Andy","BNL20383","NO",-1.48,531,1.77,30.97,30.1,398.42,400.05,24.671,25.019,55.91,500.1,11,100.6,16.5
"21","08:57:12","20220224","Andy","BNL20383","NO",-2.09,632,1.76,30.99,30.09,397.6,399.99,24.823,25.109,56.04,500.1,1,100.6,13.6
"1","12:11:41","20220224","Andy","BNL20388","YES",14.6,285,1.64,29.71,32.07,418.93,399.6,27.053,31.378,75.28,500.1,2000,100.5,240
"2","12:17:48","20220224","Andy","BNL20388","YES",14.6,284,1.66,29.64,32.2,418.93,399.57,27.184,31.527,75.95,500.1,1999,100.5,238
"3","12:21:09","20220224","Andy","BNL20388","YES",16.4,131,1.74,25.72,31.73,420.35,399.84,27.333,29.431,89.14,500.1,3295,100.5,104
"4","12:24:30","20220224","Andy","BNL20388","YES",13.8,293,1.51,29.46,31.55,418.06,399.82,27.242,31.266,76.09,500.1,2001,100.5,242
"5","12:26:31","20220224","Andy","BNL20388","NO",13.9,287,1.57,30.38,31.75,418.43,400.15,27.22,31.191,72.01,500.1,1701,100.5,229
"6","12:28:32","20220224","Andy","BNL20388","NO",13.5,284,1.64,31.07,31.98,417.65,399.83,27.188,31.137,69.08,500,1501,100.5,217
"7","12:30:33","20220224","Andy","BNL20388","NO",13.3,281,1.67,31.17,32.05,417.65,400.13,27.167,31.014,68.44,500.1,1400,100.5,206
"8","12:32:34","20220224","Andy","BNL20388","NO",12.8,277,1.68,31.4,32,416.91,400.11,27.153,30.747,66.96,500.1,1201,100.5,190
"9","12:34:35","20220224","Andy","BNL20388","NO",12.1,273,1.7,31.75,31.97,415.89,400.02,27.153,30.484,65.08,500.1,1000,100.5,173
"10","12:36:36","20220224","Andy","BNL20388","NO",11.3,269,1.72,31.94,31.91,414.84,400.06,27.164,30.197,63.78,500.1,801,100.5,156
"11","12:38:37","20220224","Andy","BNL20388","NO",10.1,268,1.75,32.45,31.94,413.46,400.19,27.178,29.935,61.42,500.1,600,100.5,138
"12","12:40:38","20220224","Andy","BNL20388","NO",8.3,273,1.8,32.78,32,411.09,400.13,27.169,29.611,59.62,500.1,401,100.5,118
"13","12:42:39","20220224","Andy","BNL20388","NO",6.71,274,1.83,32.8,31.97,409.07,400.18,27.163,29.197,58.73,500.1,300,100.5,95.5
"14","12:44:40","20220224","Andy","BNL20388","NO",4.67,286,1.88,32.95,31.98,406.34,400.05,27.126,28.765,57.37,500.1,199,100.5,74.5
"15","12:46:41","20220224","Andy","BNL20388","NO",2.74,310,1.94,32.99,32.05,403.92,400.1,27.086,28.38,56.47,500.1,120,100.5,56.6
"16","12:48:42","20220224","Andy","BNL20388","NO",1.53,329,2,33.01,32.16,402.32,400.08,27.067,28.068,55.79,500.1,81,100.5,42.2
"17","12:50:43","20220224","Andy","BNL20388","NO",0.459,363,2.01,32.9,32.12,400.9,400.05,27.076,27.822,55.63,500.1,50,100.5,31.1
"18","12:52:44","20220224","Andy","BNL20388","NO",-0.191,400,2.03,32.9,32.11,399.98,399.97,27.098,27.665,55.34,500.1,31,100.5,23.4
"19","12:54:45","20220224","Andy","BNL20388","NO",-0.743,456,2.06,32.65,32.18,399.19,399.91,27.136,27.556,55.87,500.1,20,100.5,17
"20","12:56:46","20220224","Andy","BNL20388","NO",-1.16,532,2.01,32.51,32,398.8,400.07,27.194,27.498,56.2,500.1,11,100.5,12.6
"21","12:58:47","20220224","Andy","BNL20388","NO",-1.82,652,2.01,32.67,32,398.16,400.23,27.249,27.511,55.73,500.1,0,100.4,10.9
"1","08:07:47","20220224","Mariano","BNL20384","YES",12.2,319,1.03,27.85,29.98,416.11,400.12,28.855,32.017,85.84,499.3,1999,100.9,283
"2","08:12:28","20220224","Mariano","BNL20384","YES",12.1,313,1.09,28.19,30.25,415.7,399.86,28.901,32.022,84.15,499.1,2000,100.9,261
"3","08:14:29","20220224","Mariano","BNL20384","YES",12.2,314,1.05,27.81,30.08,416.06,400.08,28.954,32.003,86.02,499.1,1999,100.9,264
"4","08:16:30","20220224","Mariano","BNL20384","NO",12.2,317,1.03,27.76,29.98,416.03,400.13,28.957,32.017,86.33,499.1,1999,100.9,273
"5","08:18:31","20220224","Mariano","BNL20384","NO",11.7,322,1,28.51,29.9,415.33,399.99,28.999,32.069,82.77,499.6,1700,100.9,281
"6","08:20:32","20220224","Mariano","BNL20384","NO",11.5,317,1.03,28.99,29.94,414.87,399.93,29.016,31.893,80.05,500.1,1500,100.9,255
"7","08:22:33","20220224","Mariano","BNL20384","NO",11.5,312,1.04,29.04,29.89,414.77,399.88,28.939,31.679,79.28,500,1401,100.9,239
"8","08:24:46","20220224","Mariano","BNL20384","NO",11,311,1.04,29.54,29.89,414.49,400.24,29.021,31.617,76.86,499.8,1200,100.9,224
"9","08:26:48","20220224","Mariano","BNL20384","NO",10.8,306,1.07,30.01,29.94,413.87,399.9,29.007,31.488,74.51,499.8,1000,100.9,208
"10","08:29:23","20220224","Mariano","BNL20384","NO",10.5,299,1.09,30.47,29.96,413.51,400.01,29.053,31.344,72.22,500,800,100.9,187
"11","08:31:24","20220224","Mariano","BNL20384","NO",9.56,299,1.1,30.79,29.93,412.46,400.11,29.112,31.21,70.64,499.8,601,100.9,170
"12","08:33:25","20220224","Mariano","BNL20384","NO",8.02,307,1.11,31.25,29.94,410.58,400.15,29.135,31.082,68.51,499.9,401,100.9,155
"13","08:35:26","20220224","Mariano","BNL20384","NO",6.97,310,1.14,31.46,30,409.06,399.94,29.163,30.978,67.48,499.4,301,100.9,140
"14","08:37:27","20220224","Mariano","BNL20384","NO",5.14,325,1.14,31.49,29.97,406.85,400,29.176,30.812,66.98,499.8,201,100.9,125
"15","08:39:29","20220224","Mariano","BNL20384","NO",3.41,342,1.16,31.64,29.99,404.58,399.88,29.234,30.712,66.2,499.8,121,100.9,111
"16","08:41:30","20220224","Mariano","BNL20384","NO",2.17,355,1.18,31.67,30.02,403.16,400.01,29.318,30.622,65.93,499.4,81,100.9,95.7
"17","08:43:31","20220224","Mariano","BNL20384","NO",1.19,369,1.18,31.67,30,401.69,399.78,29.353,30.503,65.67,499.9,50,100.9,83.7
"18","08:45:32","20220224","Mariano","BNL20384","NO",0.494,381,1.19,31.68,30.02,401.21,400.2,29.471,30.461,65.54,499.9,31,100.9,71.2
"19","08:47:33","20220224","Mariano","BNL20384","NO",0.0726,390,1.21,31.7,30.09,400.44,400,29.575,30.428,65.38,499.8,19,100.9,59.9
"20","08:49:35","20220224","Mariano","BNL20384","NO",-0.45,406,1.23,31.72,30.14,399.56,399.8,29.673,30.396,65.26,500,10,100.9,50.1
"21","08:51:36","20220224","Mariano","BNL20384","NO",-0.657,418,1.24,31.56,30.16,399.53,400.08,29.77,30.364,65.77,499.6,0,100.9,40.7
"1","12:07:44","20220224","Mariano","BNL20387","YES",13.1,301,1.43,29.92,32.01,416.65,399.25,29.284,33.245,79.01,499.4,2000,100.8,252
"2","12:27:25","20220224","Mariano","BNL20387","YES",13.1,299,1.46,30.07,32.22,417.24,399.92,29.511,33.454,78.75,499.4,1999,100.7,243
"3","12:29:26","20220224","Mariano","BNL20387","YES",13.2,302,1.4,29.76,31.99,417.48,400,29.557,33.452,80.22,499.4,1999,100.7,252
"4","12:31:27","20220224","Mariano","BNL20387","NO",13.1,302,1.39,29.72,31.96,417.25,399.88,29.581,33.462,80.39,499.4,2000,100.7,253
"5","12:33:29","20220224","Mariano","BNL20387","NO",12.8,303,1.37,30.35,31.84,416.92,400.04,29.629,33.345,77.27,499.4,1700,100.7,245
"6","12:35:31","20220224","Mariano","BNL20387","NO",12.4,299,1.41,30.94,31.95,416.37,399.99,29.657,33.237,74.47,499.4,1501,100.7,227
"7","12:37:33","20220224","Mariano","BNL20387","NO",12.4,294,1.44,31.03,32.02,416.51,400.1,29.704,33.198,73.98,499.4,1400,100.7,218
"8","12:39:34","20220224","Mariano","BNL20387","NO",12.3,291,1.41,31.28,31.86,416,399.9,29.725,32.99,72.5,499.4,1201,100.7,206
"9","12:41:49","20220224","Mariano","BNL20387","NO",11.6,291,1.43,31.89,31.89,415.47,400.21,29.722,32.871,69.76,499.5,999,100.7,195
"10","12:43:50","20220224","Mariano","BNL20387","NO",11.5,284,1.48,32.2,32.01,415.24,400.22,29.756,32.752,68.31,500.3,800,100.7,179
"11","12:45:51","20220224","Mariano","BNL20387","NO",10.8,282,1.48,32.33,31.95,414.33,400.22,29.789,32.565,67.41,500.3,600,100.7,165
"12","12:47:52","20220224","Mariano","BNL20387","NO",9.29,288,1.49,32.71,31.91,412.17,399.98,29.807,32.349,65.53,500.3,401,100.7,149
"13","12:49:53","20220224","Mariano","BNL20387","NO",8.09,291,1.54,32.94,32.01,410.89,400.22,29.849,32.197,64.4,500.3,300,100.7,133
"14","12:51:54","20220224","Mariano","BNL20387","NO",6.37,301,1.56,32.99,32.05,408.16,399.64,29.923,32.048,63.91,500.3,200,100.7,118
"15","12:53:55","20220224","Mariano","BNL20387","NO",4.26,321,1.58,33.11,32.02,405.92,400.04,29.979,31.83,63.04,500.3,121,100.7,101
"16","12:55:56","20220224","Mariano","BNL20387","NO",2.9,337,1.62,33.1,32.16,404.29,400.13,30.059,31.734,62.89,500.3,81,100.7,88.6
"17","12:57:57","20220224","Mariano","BNL20387","NO",1.72,353,1.62,32.97,32.08,402.44,399.77,30.134,31.579,63.05,500.3,51,100.7,76.4
"18","12:59:58","20220224","Mariano","BNL20387","NO",0.88,368,1.61,32.92,31.98,401.79,400.23,30.155,31.38,62.81,500.3,31,100.7,64.9
"19","13:02:00","20220224","Mariano","BNL20387","NO",0.246,382,1.63,32.91,31.98,400.69,399.96,30.144,31.191,62.46,500.2,19,100.7,54.5
"20","13:04:11","20220224","Mariano","BNL20387","NO",-0.355,402,1.64,32.9,31.96,399.77,399.84,30.161,31.012,62.15,500.3,10,100.7,43.8
"21","13:06:13","20220224","Mariano","BNL20387","NO",-0.996,434,1.65,32.89,31.95,399.01,399.92,30.178,30.869,61.87,500.2,0,100.7,35.2
"1","07:21:24","20220228","Bernie","BNL20397","YES",-0.514,791,2.03,29.54,29.01,400.1,400.7,19.783,19.833,48.05,499.8,1973,100.6,2.01
"2","08:37:08","20220228","Bernie","BNL20397","YES",19.7,290,1.85,27.87,29.9,426.33,399.85,16.721,23.653,63.25,500.7,2000,100.7,354
"3","08:39:09","20220228","Bernie","BNL20397","YES",19.5,289,1.86,27.91,29.93,426.04,399.85,16.803,23.657,63.1,500.7,2000,100.7,348
"4","08:41:10","20220228","Bernie","BNL20397","NO",19.4,287,1.89,27.94,30.05,426.17,400.1,16.91,23.662,63.01,500.7,1999,100.7,336
"5","08:43:11","20220228","Bernie","BNL20397","NO",18.4,286,1.87,28.45,29.8,424.65,400.01,16.984,23.277,60.19,500.7,1701,100.7,315
"6","08:45:12","20220228","Bernie","BNL20397","NO",17.3,285,1.91,29.18,29.85,423.23,400.03,17.039,23.005,57.02,500.7,1501,100.7,290
"7","08:47:13","20220228","Bernie","BNL20397","NO",16.6,280,1.96,29.31,29.98,422.1,399.83,17.101,22.776,56.02,500.6,1399,100.7,266
"8","08:49:14","20220228","Bernie","BNL20397","NO",15.2,279,1.99,29.67,29.96,420.39,399.99,17.192,22.433,54.06,500.6,1199,100.7,239
"9","08:51:15","20220228","Bernie","BNL20397","NO",13.6,279,2.03,29.99,29.97,418.17,399.9,17.317,22.105,52.29,500.7,1000,100.7,213
