record,time,date,SampleID,Remove,A,gsw,Ci,VPDleaf,Tair,Tleaf,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
1,09:16:41,20230906,BNL19781,YES,4.19,39.8,231,2.41,29.2,33.22,419.96,414.45,25.951,27.098,66.6,500,2000,99.99
2,09:18:09,20230906,BNL19781,YES,4.18,38.5,226,2.41,29.22,33.31,419.87,414.38,26.214,27.325,67.06,500,2000,99.99
3,09:19:10,20230906,BNL19781,YES,4.16,37.9,224,2.41,29.23,33.35,420.01,414.56,26.337,27.431,67.31,500.1,1999,100
4,09:20:11,20230906,BNL19781,NO,4.16,37.7,223,2.4,29.24,33.36,420.04,414.58,26.449,27.535,67.52,500.1,1999,100
5,09:21:12,20230906,BNL19781,NO,4.13,38.7,230,2.23,29.24,32.77,419.98,414.58,26.556,27.589,67.65,500,1800,100
6,09:22:13,20230906,BNL19781,NO,4.17,38.5,229,1.97,29.24,31.84,420.14,414.75,26.67,27.578,67.63,500,1501,100
7,09:23:14,20230906,BNL19781,NO,4.13,35.7,218,1.98,29.23,31.89,420.08,414.77,26.789,27.637,67.82,500,1251,100
8,09:24:15,20230906,BNL19781,NO,3.87,35.1,227,1.83,29.21,31.34,419.84,414.87,26.911,27.681,67.98,500,1001,100
9,09:25:16,20230906,BNL19781,NO,4.04,34.2,215,1.68,29.2,30.77,419.86,414.72,27.026,27.714,68.12,500,751,100
10,09:26:17,20230906,BNL19781,NO,3.86,34,223,1.58,29.18,30.38,419.82,414.91,27.123,27.764,68.31,500,600,100
11,09:27:18,20230906,BNL19781,NO,3.82,33.7,224,1.51,29.17,30.12,420.08,415.23,27.216,27.823,68.52,500,500,100
12,09:28:19,20230906,BNL19781,NO,3.59,32.9,232,1.42,29.15,29.8,419.91,415.37,27.325,27.886,68.73,500,375,100
13,09:29:20,20230906,BNL19781,NO,3.35,32.8,243,1.34,29.14,29.48,419.85,415.61,27.411,27.937,68.92,500,250,100
14,09:30:21,20230906,BNL19781,NO,3.03,32.2,257,1.29,29.13,29.29,419.89,416.04,27.512,28.008,69.14,500,180,100
15,09:31:28,20230906,BNL19781,NO,2.7,31.7,272,1.24,29.11,29.12,420.16,416.71,27.611,28.081,69.37,500,125,100
16,09:32:29,20230906,BNL19781,NO,2.32,32.4,294,1.21,29.1,29.04,420.1,417.12,27.695,28.164,69.61,500,100,100
17,09:33:37,20230906,BNL19781,NO,1.95,31.9,311,1.18,29.1,28.94,419.82,417.29,27.793,28.244,69.84,500,75,100
18,09:34:38,20230906,BNL19781,NO,1.63,32.2,329,1.17,29.1,28.92,420.06,417.92,27.871,28.321,70.04,500.1,59,100
19,09:35:39,20230906,BNL19781,NO,1.3,32.2,345,1.16,29.09,28.9,419.91,418.16,27.952,28.396,70.23,500,49,100
20,09:36:40,20230906,BNL19781,NO,0.456,32.7,389,1.14,29.1,28.87,419.77,419.03,28.033,28.479,70.41,500,30,100
21,09:37:41,20230906,BNL19781,NO,0.249,31.6,399,1.14,29.11,28.88,420.04,419.55,28.131,28.56,70.58,500,20,100
22,09:38:42,20230906,BNL19781,NO,-0.84,32.7,454,1.12,29.11,28.86,419.96,420.78,28.196,28.634,70.76,500,0,100
1,11:37:16,20230906,BNL19782,YES,5.12,54.1,255,2.19,30.09,35.31,427.32,420.57,34.198,35.609,83.1,500,1999,99.97
2,11:39:42,20230906,BNL19782,YES,5.16,57.3,261,2.2,30.11,35.33,426.94,420.09,34.04,35.54,82.84,500,1999,99.96
3,11:41:43,20230906,BNL19782,YES,5.13,57,261,2.24,30.17,35.44,426.92,420.1,33.952,35.474,82.43,500,2001,99.95
4,11:43:44,20230906,BNL19782,NO,5.07,56.1,260,2.27,30.18,35.47,426.81,420.07,33.764,35.281,81.9,500,2001,99.95
5,11:45:45,20230906,BNL19782,NO,4.95,54.9,261,2.16,30.12,35.01,426.47,419.91,33.538,34.95,81.44,500,1800,99.94
6,11:46:46,20230906,BNL19782,NO,4.89,53,258,2.04,30.09,34.56,426.45,420.03,33.441,34.729,81.05,500,1501,99.94
7,11:47:47,20230906,BNL19782,NO,4.93,51.3,253,1.91,30.08,34.05,426.25,419.82,33.369,34.535,80.65,500,1251,99.94
8,11:48:48,20230906,BNL19782,NO,4.8,50.1,254,1.76,30.03,33.48,426.09,419.88,33.291,34.338,80.4,500,1000,99.93
9,11:49:49,20230906,BNL19782,NO,4.83,48.6,250,1.63,29.96,32.96,426.21,420,33.183,34.127,80.22,500,751,99.93
10,11:50:50,20230906,BNL19782,NO,4.71,47.5,251,1.54,29.91,32.58,426.05,420.01,33.086,33.958,80.07,500,600,99.93
11,11:51:51,20230906,BNL19782,NO,4.67,47.5,252,1.47,29.87,32.27,425.94,419.98,33.011,33.841,79.97,500,499,99.93
12,11:52:52,20230906,BNL19782,NO,4.5,46.9,257,1.4,29.86,32,425.81,420.07,32.957,33.741,79.76,500,375,99.93
13,11:53:53,20230906,BNL19782,NO,4.09,46.8,270,1.34,29.85,31.75,425.15,419.91,32.915,33.664,79.62,500,249,99.93
14,11:54:54,20230906,BNL19782,NO,3.6,46.7,287,1.31,29.85,31.59,424.58,419.94,32.878,33.605,79.52,500,179,99.92
15,11:55:59,20230906,BNL19782,NO,2.85,46.7,313,1.28,29.83,31.45,423.74,420.01,32.807,33.516,79.39,500,124,99.92
16,11:57:00,20230906,BNL19782,NO,2.54,46.1,323,1.26,29.81,31.35,423.31,419.96,32.722,33.415,79.22,500,101,99.92
17,11:58:01,20230906,BNL19782,NO,1.85,45.2,346,1.25,29.8,31.28,422.57,420.05,32.649,33.323,79.05,500,75,99.92
18,11:59:02,20230906,BNL19782,NO,1.34,43.8,362,1.25,29.78,31.2,421.89,420,32.542,33.192,78.82,500,61,99.92
19,12:00:03,20230906,BNL19782,NO,0.958,41.9,375,1.25,29.78,31.14,421.49,420.07,32.424,33.046,78.51,500,51,99.92
20,12:01:04,20230906,BNL19782,NO,0.308,39.8,399,1.25,29.76,31.08,420.82,420.2,32.314,32.904,78.22,500,30,99.92
21,12:02:05,20230906,BNL19782,NO,-0.1,38.1,416,1.26,29.77,31.08,420.16,420.03,32.22,32.791,77.92,500,21,99.91
