VNR (experiment no),ART (Species code),Species,BLT ,Julian Day,Date,Stand,SampleID,Predawn water potential bar ,"Instantaneous water potential, psi bar ",Patm,Tleaf,rFmBl % ,rFoBl % ,CO2r,Bta Grad C ,LtoB Grad C ,ALVPD,CO2s,TrOf mmol m-2 s-1 ,gsw,Bti Grad C ,Ci,Qin,A
1,82,Quercus coccifera,1,365,31/12/1982 08:25,QSP,1_82_1_QSP,-7,-7,1043,7.1,72.1, ,330,, ,2.337,328,0.2039,87.2,6.5,314,53,0.744
1,82,Quercus coccifera,1,365,31/12/1982 09:36,QSP,1_82_1_QSP,-7,-10.8,1043,7.5,75.1, ,330,, ,2.302,325,0.1482,64.4,7.2,265,325,2.371
1,82,Quercus coccifera,1,366,31/12/1982 12:32,QSP,1_82_1_QSP,-7,-15.4,1043,12.4,63.8, ,330,, ,6.501,317,0.623,95.8,13.9,208,990,6.3762
1,82,Quercus coccifera,1,365,31/12/1982 10:30,QSP,1_82_1_QSP,-7,-15.4,1043,9.2,68.9, ,330,, ,3.822,321,0.3482,91.1,9.6,240,1183,4.4768
1,82,Quercus coccifera,1,365,31/12/1982 11:30,QSP,1_82_1_QSP,-7,-15,1043,10.9,64.7, ,330,, ,5.247,319,0.4631,88.3,11.8,218,1388,5.4108
1,82,Quercus coccifera,3,365,31/12/1982 17:27,QSP,1_82_3_QSP,-7,-9.5,1043,11.2,67.7, ,330,, ,4.001,330,0.2956,73.9,11,333,8,-0.2351
1,82,Quercus coccifera,3,365,31/12/1982 17:05,QSP,1_82_3_QSP,-7,-12.2,1043,12,67.2, ,330,, ,4.377,327,0.3217,73.5,11.9,286,66,1.7979
1,82,Quercus coccifera,3,365,31/12/1982 16:32,QSP,1_82_3_QSP,-7,-16.1,1043,12.6,64.9, ,330,, ,4.787,323,0.3846,80.3,12.4,241,370,3.9899
1,82,Quercus coccifera,3,365,31/12/1982 15:30,QSP,1_82_3_QSP,-7,-21.6,1043,14.1,62.7, ,330,, ,6.341,319,0.6284,99.1,14.6,203,860,6.9686
1,82,Quercus coccifera,3,365,31/12/1982 14:34,QSP,1_82_3_QSP,-7,-20.8,1043,16.1,56.2, ,330,, ,8.71,318,0.8645,99.2,16.9,195,1140,7.4213
1,82,Quercus coccifera,3,365,31/12/1982 13:38,QSP,1_82_3_QSP,-7,-19.6,1043,14.3,62.1, ,330,, ,7.052,313,0.9802,139,15.3,200,1280,9.5518
1,82,Quercus coccifera,4,365,31/12/1982 17:32,QSP,1_82_4_QSP,-7,-9.1,1043,11.1,71.2, ,330,, ,3.442,330,0.2669,77.6,10.8,334,4,-0.2526
1,82,Quercus coccifera,4,365,31/12/1982 17:06,QSP,1_82_4_QSP,-7,-12.1,1043,11.8,69.5, ,330,, ,4.01,328,0.3437,85.7,11.7,309,29,0.8781
1,82,Quercus coccifera,4,365,31/12/1982 16:37,QSP,1_82_4_QSP,-7,-15.5,1043,12.8,67.2, ,330,, ,4.521,323,0.4483,99.2,12.6,276,95,2.7912
1,82,Quercus coccifera,4,365,31/12/1982 15:37,QSP,1_82_4_QSP,-7,-21.7,1043,16.2,65.3, ,330,, ,6.901,303,1.2871,186.5,16.8,186,890,13.3676
1,82,Quercus coccifera,4,365,31/12/1982 14:38,QSP,1_82_4_QSP,-7,-20.8,1043,17.9,63.4, ,330,, ,8.711,298,1.3725,157.6,19,163,1260,12.9832
1,82,Quercus coccifera,4,365,31/12/1982 13:45,QSP,1_82_4_QSP,-7,-20,1043,17.4,64.3, ,330,, ,8.272,296,1.4742,178.2,18.5,165,1399,14.2892
40,82,Quercus coccifera,1,30,30/01/1983 18:07,QSP,40_82_1_QSP,-7.5, ,1040,14.7,64.5, ,330,, ,5.469,332,0.125,22.9,14.4,393,3,-0.9272
40,82,Quercus coccifera,1,30,30/01/1983 08:31,QSP,40_82_1_QSP,-7.5,-8.5,1040,8,60.6, ,330,, ,4.116,329,0.6512,158.2,8,323,66,0.4017
40,82,Quercus coccifera,1,30,30/01/1983 17:11,QSP,40_82_1_QSP,-7.5,-14.8,1040,17.4,60.2, ,330,, ,7.702,328,0.2657,34.5,17.4,271,93,1.1464
40,82,Quercus coccifera,1,30,30/01/1983 16:26,QSP,40_82_1_QSP,-7.5,-20.2,1040,19.3,57.1, ,330,, ,8.949,327,0.3619,40.4,19,256,150,1.6939
40,82,Quercus coccifera,1,30,30/01/1983 09:40,QSP,40_82_1_QSP,-7.5,-9.7,1040,11.7,50.2, ,330,, ,6.579,328,0.5126,77.9,11.6,302,191,1.0743
40,82,Quercus coccifera,1,30,30/01/1983 15:10,QSP,40_82_1_QSP,-7.5,-27.9,1040,22.5,51.4, ,330,, ,13.885,323,0.8196,59,23.1,200,635,4.3117
40,82,Quercus coccifera,1,30,30/01/1983 10:36,QSP,40_82_1_QSP,-7.5,-12.6,1040,14.3,45.3, ,330,, ,11.56,325,0.4683,40.5,16.9,203,727,2.9651
40,82,Quercus coccifera,1,30,30/01/1983 14:02,QSP,40_82_1_QSP,-7.5,-24,1040,21.5,53.6, ,330,, ,14.646,320,0.7659,52.3,23.4,128,986,6.1078
40,82,Quercus coccifera,1,30,30/01/1983 12:06,QSP,40_82_1_QSP,-7.5,-22.9,1040,17.6,60.2, ,330,, ,11.688,320,0.4812,41.2,20.5,100,1100,5.5515
40,82,Quercus coccifera,1,30,30/01/1983 13:02,QSP,40_82_1_QSP,-7.5,-21.1,1040,20.2,56.5, ,330,, ,11.797,321,0.6835,57.9,21.4,173,1135,5.1795
40,82,Quercus coccifera,2,30,30/01/1983 18:11,QSP,40_82_2_QSP,-7.5, ,1040,14.8,64.2, ,330,, ,5.869,331,0.0758,12.9,14.8,410,1,-0.663
40,82,Quercus coccifera,2,30,30/01/1983 08:37,QSP,40_82_2_QSP,-7.5,-8.6,1040,8,58.4, ,330,, ,4.489,327,0.2738,61,8.2,294,62,1.1756
40,82,Quercus coccifera,2,30,30/01/1983 17:14,QSP,40_82_2_QSP,-7.5,-14.4,1040,17.4,60.2, ,330,, ,7.58,329,0.1702,22.5,17.3,297,80,0.4006
40,82,Quercus coccifera,2,30,30/01/1983 09:45,QSP,40_82_2_QSP,-7.5,-9.8,1040,11.8,50, ,330,, ,6.828,326,0.3398,49.8,11.9,276,193,1.4688
40,82,Quercus coccifera,2,30,30/01/1983 16:30,QSP,40_82_2_QSP,-7.5,-19.8,1040,19.2,58, ,330,, ,9.1,326,0.3387,37.2,19.2,242,196,1.8476
40,82,Quercus coccifera,2,30,30/01/1983 10:41,QSP,40_82_2_QSP,-7.5,-13.2,1040,15.8,43.8, ,330,, ,10.507,323,0.5431,51.7,16.4,231,510,2.8469
40,82,Quercus coccifera,2,30,30/01/1983 15:14,QSP,40_82_2_QSP,-7.5,-28.2,1040,23.5,50.1, ,330,, ,14.415,321,0.9107,63.2,23.7,209,560,4.1811
