Date.actual,Rep,ID,spp,E,A,Ci,gsw,TleafEB,Qin,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Tair,Tleaf
03/01/2017,1,6,nawa,0.001138701,4.392375523,279.8365353,0.064370989,26.08458497,1499.99,4.722,399.937,404.515,22.1613,21.1098,500.027,24.9247,25.6248
03/01/2017,1,6,nawa,0.001123245,4.431144752,283.1694242,0.066708478,25.75912894,1200,4.722,399.967,404.576,22.2292,21.192,500.006,24.8885,25.3758
03/01/2017,1,6,nawa,0.001014748,4.452114699,278.8801385,0.06402032,25.29431189,799.999,4.722,400.067,404.655,22.1568,21.2197,499.997,24.7863,25.0309
03/01/2017,1,6,nawa,0.000929505,4.403733787,277.9772979,0.062519698,24.78829785,399.998,4.722,400.033,404.543,22.0047,21.1462,500.005,24.6493,24.642
03/01/2017,1,6,nawa,0.000937651,4.159173371,289.3344545,0.06551342,24.49240754,200.003,4.722,400.027,404.309,21.8924,21.0263,500.018,24.5521,24.4272
03/01/2017,1,6,nawa,0.000874408,3.407050584,303.2615702,0.062089652,24.33953726,100.007,4.722,399.993,403.541,21.8055,20.9977,499.99,24.4798,24.2975
03/01/2017,1,6,nawa,0.000891729,3.432090404,304.231763,0.063285879,24.27209496,90.002,4.722,399.961,403.539,21.6444,20.8205,500.013,24.427,24.2332
03/01/2017,1,6,nawa,0.000855716,3.254698161,306.1654398,0.061243246,24.23435751,80.0058,4.722,400.06,403.457,21.6904,20.8998,500.006,24.3894,24.2172
03/01/2017,1,6,nawa,0.000818889,2.985487062,309.4567241,0.058440773,24.19543362,69.9936,4.722,400.04,403.169,21.5824,20.8257,499.979,24.3501,24.1946
03/01/2017,1,6,nawa,0.000802661,2.675527054,316.5888561,0.057368179,24.16584096,59.9964,4.722,400.04,402.87,21.5428,20.8011,500.002,24.3262,24.166
03/01/2017,1,6,nawa,0.000742815,2.445288247,317.6846858,0.053169567,24.15560936,55.0038,4.722,400.032,402.622,21.5615,20.8751,499.992,24.3046,24.1413
03/01/2017,1,6,nawa,0.000729362,2.31205158,320.2185899,0.052066425,24.13121627,50.0004,4.722,400.042,402.501,21.4781,20.8041,500.011,24.2812,24.1198
03/01/2017,1,6,nawa,0.000681629,2.013498332,325.0275452,0.048610192,24.11799164,44.9999,4.722,400.052,402.211,21.4513,20.8214,500.017,24.2598,24.1142
03/01/2017,1,6,nawa,0.000698609,1.891344718,330.7099671,0.050006222,24.08998343,40.0008,4.722,399.978,402.028,21.4343,20.7887,500.019,24.2415,24.0869
03/01/2017,1,6,nawa,0.000689498,1.659816442,337.6015689,0.0494976,24.07469018,35.0038,4.722,399.996,401.824,21.445,20.8078,499.998,24.2283,24.0749
03/01/2017,1,6,nawa,0.000643838,1.504401559,339.2612739,0.046264352,24.07082681,30.0036,4.722,399.995,401.659,21.4646,20.8696,499.991,24.2171,24.0717
03/01/2017,1,6,nawa,0.00063655,1.257450646,347.1170933,0.045557111,24.05236189,25.0015,4.722,400.039,401.467,21.3723,20.784,500.008,24.2014,24.0477
