location,plot,treeID,canopy,rep,leaf,test,species,E,A,Ca,Ci,Pci,Pca,gsw,TleafEB,RHcham,Qin,Qabs,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,date_licor,date_collected,DBH,Height,Size_Class,concat
AK,1,A,low,1,1,kok,pigl,0.000382145,3.413155366,394.1357562,148.6812219,13.85896442,36.73842167,0.023008414,25.82847132,59.87482981,1799.975238,1517.378994,8.25,394.1357619,400.015619,19.56110476,18.9429381,500.0312381,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.00041667,3.439240478,394.0518038,175.5444625,16.36295265,36.73058617,0.026160484,25.52435789,59.96639704,1500.000952,1264.500683,8.25,394.0518095,399.9973333,19.56682381,18.89278571,500.0114286,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000394933,3.4690415,394.023899,171.9962383,16.03225935,36.72809011,0.025910417,25.20141236,60.15702626,1200.007619,1011.606451,8.25,394.0239048,400.0035238,19.5657619,18.92698571,500.0887143,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000410609,3.443620061,394.0449466,189.5799993,17.67207818,36.73168651,0.028008799,24.92275006,60.45103623,1000.001095,843.0008576,8.25,394.0449524,399.994619,19.55282381,18.88848571,499.9389524,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000407653,3.27731383,394.3437565,202.9215486,18.91636756,36.76076539,0.028539456,24.67066073,60.25311493,800.0019048,674.4016629,8.25,394.3437619,400.0167619,19.40678571,18.74719048,499.983619,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.00044905,2.167334856,396.1467107,285.1137284,26.58045053,36.93178195,0.033613891,24.16833664,60.35659133,400.0004762,337.2004954,8.25,396.1467143,400.0162857,19.29264286,18.56601429,500.0063333,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.00041656,0.657301388,398.6503322,357.9935311,33.3757069,37.16613707,0.032233066,23.9015689,60.42325732,200.0011905,168.6010209,8.25,398.6503333,400.0089048,19.20708571,18.53295238,499.9917619,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000409497,0.184358192,399.4222854,382.1072793,35.62469742,37.23901331,0.031983428,23.77901689,60.33678685,149.9980952,126.4483804,8.25,399.4222857,399.9963333,19.08870476,18.42595714,500.0180952,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000413954,-0.825426702,401.0952871,433.4497747,40.41210144,37.3955747,0.032443179,23.70112609,60.10530781,100.000719,84.3006723,8.25,401.0952857,400.0072857,18.97978095,18.30971905,499.9984286,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
AK,1,A,low,1,1,kok,pigl,0.000392168,-0.988353891,401.356954,443.7343322,41.3733163,37.42209472,0.03121344,23.56051207,60.37473944,90.00079048,75.87074416,8.25,401.3569524,399.9862381,18.90711429,18.2724381,500.1315238,03/07/2017,04/07/2017,20.6,7.84,large,2017-07-04_AK_1_A_1_1_low_pigl
