Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2021-04-16;09:20:17;ZPc005;0000;8;AFF1FF212FF---1FF-------------;;399.3894;-0.8868686;;20572.26;-136.5777;;749.61;100.640;2683;1695;24.94;25.49;25.81;25.04;1499.4;42.5;24.3;7;;;;;;;;;;;;0;;;;;;;;;;;
2021-04-16;09:30:00;ZPi005;0000;8;AFF1FF212FF---1FF-------------;CO2 Curve;399.4474;-0.9382877;;20589.47;-78.07748;;749.69;100.642;2700;1699;24.98;25.07;26.57;25.11;1499.0;2.6;46.4;7;;;;;;;;;;;;510;;;;;;;;;;;
2021-04-16;09:34:01;MP_005;0001;8;AFF1FF212FF---1FF-------------;;399.4838;-0.9382877;-3.839648;20583.9;-78.07748;225.7408;749.62;100.640;2707;1698;24.99;25.11;26.64;25.10;1499.2;2.6;46.5;7;66.41;0.2907599;11.07576;26.25192;2.603348;236.412;396.58;20887.7;;;;502;;;;;;;;;;;
2021-04-16;09:34:32;MP_005;0001;8;AFF1FF212FF---1FF-------------;;399.4258;-0.9382877;-4.015308;20573.56;-78.07748;238.7199;749.67;100.640;2707;1716;25.01;25.14;26.64;25.18;1497.6;2.6;46.4;7;66.35;0.3032024;11.13014;27.24155;2.763268;232.6335;396.33;20895.0;;;;500;536;;;0.0672;42.25;;;;;;0.840
2021-04-16;09:37:47;ZPi005;0000;8;AFF1FF212FF---1FF-------------;;299.7618;-1.010765;;20574.13;-83.7252;;749.82;100.646;2712;1715;25.00;25.09;26.73;25.07;1499.0;2.4;46.5;7;;;;;;;;;;;;497;;;;;;;;;;;
2021-04-16;09:41:47;MP_005;0001;8;AFF1FF212FF---1FF-------------;;299.8781;-1.010765;-4.465324;20562.11;-83.7252;463.5564;749.57;100.636;2717;1729;24.99;25.05;26.63;25.03;1499.4;2.2;46.7;7;67.12;0.523841;10.73961;48.77653;3.081518;193.7624;296.42;21109.4;;;;494;;;;;;;;;;;
2021-04-16;09:42:18;MP_005;0001;8;AFF1FF212FF---1FF-------------;;299.8014;-1.010765;-4.532516;20556.75;-83.7252;478.5392;749.51;100.650;2718;1736;25.01;25.06;26.71;25.13;1497.6;2.6;46.4;7;67.08;0.5381477;10.7408;50.10316;3.140048;194.4199;296.30;21122.0;;;;493;530;;;0.0698;43.91;;;;;;0.840
2021-04-16;09:45:33;ZPi005;0000;8;AFF1FF212FF---1FF-------------;;199.7267;-0.9192251;;20558.59;-87.90205;;749.72;100.648;2721;1723;25.00;25.07;26.75;25.04;1499.2;2.2;46.3;7;;;;;;;;;;;;490;;;;;;;;;;;
2021-04-16;09:49:33;MP_005;0001;8;AFF1FF212FF---1FF-------------;;199.686;-0.9192251;-3.029115;20570.61;-87.90205;508.0575;749.71;100.642;2724;1734;24.99;25.06;26.82;25.01;1499.4;2.8;46.3;7;67.29;0.5705745;10.70394;53.3051;1.86453;140.1897;197.58;21166.6;;;;489;;;;;;;;;;;
