Date,Time,Code,Object,Area,Status,Comment,CO2abs,dCO2ZP,dCO2MP,H2Oabs,dH2OZP,dH2OMP,Flow,Pamb,Aux1,Aux2,Tcuv,Tleaf,Tamb,Ttop,PARtop,PARbot,PARamb,Imp,rh,E,VPD,GH2O,A,ci,ca,wa,Fo,Fm,Fv/Fm,F,Fm',Fo',Fo'calc,Yield,ETR,qP,qL,qN,NPQ,Y(NPQ),ETR-Fac
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2021,10:09:08,ZPi005,0,8,AFF1FF512FF---1FF-------------,CO2 Curve,400.0339,-0.2236777,,20493.9,-91.54468,,749.58,101.338,2652,1655,25.02,25.69,26.28,25.15,1499.4,1.2,26.3,7,,,,,,,,,,,,500,,,,,,,,,,,
08/04/2021,10:13:09,MP_005,1,8,AFF1FF512FF---1FF-------------,,398.3061,-0.2236777,-8.359765,20515.34,-91.54468,1050.446,749.57,101.338,2658,1655,25.05,25.75,27.23,25.28,1499.2,1.9,26.9,7,69.09,1.09369,11.32518,96.57153,7.196494,268.1042,390.17,21657.3,,,,466,,,,,,,,,,,
08/04/2021,10:13:40,MP_005,1,8,AFF1FF512FF---1FF-------------,,396.7372,-0.2236777,-8.348979,20534.98,-91.54468,1064.296,749.85,101.34,2658,1671,25.06,25.71,27.23,25.36,1499.6,1.7,26.3,7,69.16,1.107407,11.215,98.74335,7.185579,269.3737,388.65,21689.9,,,,463,507,,,0.0868,54.66,,,,,,0.84
08/04/2021,10:16:55,ZPi005,0,8,AFF1FF512FF---1FF-------------,,295.6011,-0.3627253,,20560.46,-89.56271,,749.7,101.336,2663,1661,25.03,25.74,27.26,25.24,1498.2,1.6,26.4,7,,,,,,,,,,,,442,,,,,,,,,,,
08/04/2021,10:20:55,MP_005,1,8,AFF1FF512FF---1FF-------------,,300.0635,-0.3627253,-6.808483,20562.83,-89.56271,1142.864,749.59,101.326,2666,1684,25,25.66,26.92,25.11,1498.4,1.7,26.5,7,69.75,1.180492,11.01626,107.1591,5.692954,206.444,293.62,21795.3,,,,430,,,,,,,,,,,
08/04/2021,10:21:26,MP_005,1,8,AFF1FF512FF---1FF-------------,,299.9341,-0.3627253,-6.784106,20541.66,-89.56271,1150.157,749.72,101.32,2666,1694,25.03,25.65,26.9,25.21,1498.6,1.7,26.3,7,69.58,1.187682,10.99616,108.0087,5.66923,207.3232,293.5,21786,,,,430,470,,,0.0851,53.57,,,,,,0.84
08/04/2021,10:24:41,ZPi005,0,8,AFF1FF512FF---1FF-------------,,198.9187,-0.2709794,,20571.56,-96.12177,,749.57,101.328,2670,1667,24.98,25.61,26.79,25.03,1499.4,1.6,26.1,7,,,,,,,,,,,,418,,,,,,,,,,,
08/04/2021,10:28:41,MP_005,1,8,AFF1FF512FF---1FF-------------,,205.2366,-0.2709794,-4.557336,20571.46,-96.12177,1220.857,749.64,101.336,2673,1673,24.98,25.58,26.63,24.97,1499.2,1.4,26.4,7,70.11,1.26169,10.74731,117.3959,3.762987,148.0209,200.95,21888.4,,,,414,,,,,,,,,,,
08/04/2021,10:29:12,MP_005,1,8,AFF1FF512FF---1FF-------------,,204.1224,-0.2709794,-4.487072,20555.62,-96.12177,1229.682,749.64,101.34,2674,1654,25.01,25.6,26.6,25.07,1499.6,1.7,26.3,7,69.97,1.270145,10.7958,117.6517,3.696843,147.9258,199.87,21882.7,,,,413,448,,,0.0781,49.21,,,,,,0.84
08/04/2021,10:32:27,ZPi005,0,8,AFF1FF512FF---1FF-------------,,96.04637,-0.3667541,,20570.52,-104.4494,,749.66,101.336,2676,1689,24.99,25.55,26.47,24.95,1499,1.6,26.4,7,,,,,,,,,,,,406,,,,,,,,,,,
08/04/2021,10:36:27,MP_005,1,8,AFF1FF512FF---1FF-------------,,99.33062,-0.3667541,-1.670312,20549.21,-104.4494,1321.262,749.72,101.34,2678,1688,24.99,25.53,26.54,24.95,1499.4,1.2,26.5,7,70.37,1.366121,10.56344,129.3254,1.087707,83.41153,98.03,21974.9,,,,402,,,,,,,,,,,
08/04/2021,10:36:58,MP_005,1,8,AFF1FF512FF---1FF-------------,,99.54636,-0.3667541,-1.65,20556.76,-104.4494,1328.993,749.54,101.34,2678,1687,25.01,25.54,26.53,25.05,1498.6,1.7,26.3,7,70.32,1.373229,10.55758,130.0705,1.067376,83.95462,98.26,21993.1,,,,402,430,,,0.0651,40.99,,,,,,0.84
08/04/2021,10:40:13,ZPi005,0,8,AFF1FF512FF---1FF-------------,,49.548,-0.3873852,,20577.34,-112.3156,,749.72,101.34,2683,1699,24.98,25.49,26.4,24.94,1499,1.4,26.5,7,,,,,,,,,,,,398,,,,,,,,,,,
08/04/2021,10:44:13,MP_005,1,8,AFF1FF512FF---1FF-------------,,48.23752,-0.3873852,-0.1972611,20544.62,-112.3156,1412.814,749.8,101.346,2685,1665,24.99,25.47,26.35,24.94,1499.4,1.4,26.7,7,70.68,1.461688,10.34555,141.2866,-0.24898,50.37941,48.43,22069.8,,,,398,,,,,,,,,,,
08/04/2021,10:44:44,MP_005,1,8,AFF1FF512FF---1FF-------------,,48.10447,-0.3873852,-0.1706744,20547.71,-112.3156,1421.79,749.62,101.35,2685,1676,25,25.47,26.39,25.05,1499.6,0.9,26.3,7,70.68,1.469948,10.33946,142.1688,-0.2740715,50.51729,48.31,22080.4,,,,397,419,,,0.0525,33.07,,,,,,0.84
08/04/2021,10:47:59,ZPi005,0,8,AFF1FF512FF---1FF-------------,,401.7957,-0.3689731,,20564.66,-77.09874,,749.7,101.344,2687,1673,24.98,25.44,26.15,24.92,1499.2,1.7,26.4,7,,,,,,,,,,,,394,,,,,,,,,,,
