Background,Genotype,Stage,Replicate,O2,Iinc ,Ca,Ci,A,Phi2,VPDleaf,gs,E,Tleaf
WYJ,C,Tillering,1,21,1999.87,371.42,303.88,36.71,0.2546,1.07,0.5936,0.01,25.01
WYJ,C,Tillering,1,21,1500.12,372.79,305.62,35.08,0.3205,1.02,0.5687,0.0092,25.01
WYJ,C,Tillering,1,21,999.98,375.71,311.94,31.21,0.4221,0.98,0.5342,0.0083,25.02
WYJ,C,Tillering,1,21,500.26,382.71,332.08,21.71,0.5476,0.95,0.4798,0.0072,25.01
WYJ,C,Tillering,1,21,280.21,388.73,348.89,13.7,0.6082,0.96,0.4006,0.0061,25.01
WYJ,C,Tillering,1,21,150.02,393.46,361.45,7.64,0.6414,0.98,0.2925,0.0046,25.01
WYJ,C,Tillering,1,21,99.92,395.63,363.4,5.05,0.6585,1,0.1932,0.0031,25.02
WYJ,C,Tillering,1,21,80.06,396.55,365.01,3.99,0.6675,1,0.1572,0.0025,25
WYJ,C,Tillering,1,21,50.13,397.73,376.3,2.34,0.6779,1.01,0.1548,0.0025,25
WYJ,C,Tillering,1,21,1000.06,376.13,315.1,30.46,0.436,1.02,0.5494,0.0089,25
WYJ,C,Tillering,1,21,999.97,232.07,187.45,23.34,0.4316,1.01,0.5656,0.009,24.99
WYJ,C,Tillering,1,21,1000.12,139.68,114.13,13.54,0.3871,1.01,0.5752,0.0091,25
WYJ,C,Tillering,1,21,1000.09,75.9,65.7,5.33,0.3277,1,0.5867,0.0093,24.99
WYJ,C,Tillering,1,21,1000.05,48.87,45.81,1.38,0.2917,1,0.5972,0.0094,25
WYJ,C,Tillering,1,21,1000.03,377.34,321.54,28.58,0.4036,1.01,0.5693,0.0091,25.02
WYJ,C,Tillering,1,21,1000.01,376.42,309.78,30.33,0.4306,1.02,0.4965,0.008,24.98
WYJ,C,Tillering,1,21,1000.01,375.6,306.41,31.53,0.447,1.02,0.4949,0.008,24.99
WYJ,C,Tillering,1,21,1000,623.3,541.51,32.96,0.41,1.03,0.456,0.0075,25.02
WYJ,C,Tillering,1,21,1000.01,973.26,882.23,31.09,0.3681,1.03,0.4103,0.0067,24.99
WYJ,C,Tillering,1,21,999.98,1472.2,1365.93,29.8,0.3477,1.04,0.3602,0.006,25
WYJ,C,Tillering,1,2,279.97,984.78,871.08,18.38,0.6034,1.03,0.1869,0.0031,25
WYJ,C,Tillering,1,2,149.94,992.09,874.86,9.56,0.6175,1.04,0.0941,0.0016,25.03
WYJ,C,Tillering,1,2,100.05,994.93,837.54,6.31,0.6287,1.05,0.0445,0.0008,25.01
WYJ,C,Tillering,1,2,80.13,995.85,872.87,4.88,0.6376,1.05,0.0455,0.0008,25
WYJ,C,Tillering,1,2,49.96,997.32,916.93,2.94,0.6544,1.05,0.0458,0.0008,25
WYJ,C,Tillering,2,21,1999.98,374.21,296.58,35.48,0.2787,1.1,0.4944,0.0086,25
WYJ,C,Tillering,2,21,1499.99,375.48,296.96,33.85,0.3503,1.06,0.4647,0.0078,25.03
WYJ,C,Tillering,2,21,1000.12,378.11,304.58,30.19,0.4515,1,0.4434,0.0071,25
WYJ,C,Tillering,2,21,499.94,384.48,322.24,21.04,0.5739,0.99,0.3714,0.0059,25.04
WYJ,C,Tillering,2,21,279.99,389.9,340.5,13.32,0.6342,1,0.3059,0.0049,25.04
WYJ,C,Tillering,2,21,149.77,394.48,356.5,6.99,0.6697,1,0.2189,0.0035,25.01
WYJ,C,Tillering,2,21,100.16,396.47,357.92,4.59,0.6879,1.02,0.1417,0.0023,25
WYJ,C,Tillering,2,21,79.99,397.45,351.68,3.42,0.6991,1.04,0.0866,0.0015,25.01
WYJ,C,Tillering,2,21,50.06,398.5,352.18,2,0.7107,1.04,0.0499,0.0008,25
WYJ,C,Tillering,2,21,999.89,378.85,298.64,29.16,0.4479,1.05,0.3912,0.0065,24.99
WYJ,C,Tillering,2,21,1000.15,234.93,178.91,21.07,0.4279,1.04,0.4006,0.0067,25
WYJ,C,Tillering,2,21,999.81,141.29,110.41,12.3,0.3882,1.04,0.4269,0.0071,24.99
WYJ,C,Tillering,2,21,1000.09,76.66,65.06,4.71,0.3286,1.03,0.4513,0.0074,24.98
WYJ,C,Tillering,2,21,1000.07,49.05,45.47,1.34,0.2871,1.03,0.4771,0.0078,24.98
